preco_venda,preco_m2,tipo_imovel_original,tipo_imovel,cidade_original,cidade,bairro,area_m2,quartos,banheiros,vagas,tem_suite,tem_piscina,tem_varanda,tem_lazer,tem_mobiliado,tem_elevador,preco_suspeito,area_suspeita,preco_m2_suspeito
362900,8064.44,Apartamento,apartamento,Cariacica,Cariacica,Morada de Santa Fé,45,2,1,1,False,True,False,True,False,True,False,False,False
410000,6406.25,Apartamento,apartamento,Cariacica,Cariacica,Rio Branco,64,3,1,1,False,True,False,True,False,True,False,False,False
1245000,10826.09,Apartamento,apartamento,Cariacica,Cariacica,Campo Grande,115,3,2,2,True,True,True,True,True,True,False,False,False
200000,952.38,Casa,casa,Cariacica,Cariacica,Cariacica Sede,210,3,1,2,False,False,False,False,False,False,False,False,False
409900,7882.69,Apartamento,apartamento,Cariacica,Cariacica,Morada de Santa Fé,52,3,1,1,False,True,False,True,False,True,False,False,False
350000,1166.67,Apartamento,apartamento,Cariacica,Cariacica,Santana,300,3,3,2,True,False,False,False,False,False,False,False,True
355000,5634.92,Apartamento,apartamento,Cariacica,Cariacica,São Geraldo,63,3,2,1,True,False,False,True,False,True,False,False,False
260000,6046.51,Apartamento,apartamento,Cariacica,Cariacica,Tucum,43,2,1,1,False,True,False,True,False,False,False,False,False
218500,1400.64,Apartamento,apartamento,Cariacica,Cariacica,Vasco da Gama,156,3,2,1,False,False,False,False,False,False,False,False,True
650000,2363.64,Casa,casa,Cariacica,Cariacica,Alto Lage,275,4,3,2,True,True,True,False,False,False,False,False,False
373700,8493.18,Apartamento,apartamento,Cariacica,Cariacica,Morada de Santa Fé,44,2,1,1,False,True,False,True,False,True,False,False,False
350000,5000.0,Casa,casa,Cariacica,Cariacica,Jardim Campo Grande,70,2,1,1,True,False,False,False,False,False,False,False,False
230000,2875.0,Casa,casa,Cariacica,Cariacica,Jardim Campo Grande,80,2,1,1,False,False,False,False,False,False,False,False,False
325165,6021.57,Apartamento,apartamento,Cariacica,Cariacica,Nova Valverde,54,2,1,1,False,True,False,True,False,True,False,False,False
350000,6363.64,Apartamento,apartamento,Cariacica,Cariacica,Rio Branco,55,2,1,1,True,False,False,False,False,False,False,False,False
440000,6984.13,Apartamento,apartamento,Cariacica,Cariacica,São Geraldo,63,3,1,1,True,False,False,True,False,True,False,False,False
361100,8024.44,Apartamento,apartamento,Cariacica,Cariacica,Morada de Santa Fé,45,2,1,1,False,True,False,True,False,True,False,False,False
415000,3458.33,Térrea,casa,Cariacica,Cariacica,Santa Bárbara,120,3,2,2,True,False,False,False,False,False,False,False,False
699000,11650.0,Apartamento,apartamento,Cariacica,Cariacica,Vila Capixaba,60,2,2,2,False,True,False,True,True,True,False,False,False
320000,5818.18,Apartamento,apartamento,Cariacica,Cariacica,Rio Branco,55,2,2,1,True,True,False,True,False,True,False,False,False
332000,7720.93,Apartamento,apartamento,Cariacica,Cariacica,Morada de Santa Fé,43,2,1,1,False,True,False,True,False,True,False,False,False
395000,1795.45,Casa,casa,Cariacica,Cariacica,Jardim América,220,4,2,0,True,False,True,False,False,False,False,False,False
220000,5365.85,Apartamento,apartamento,Cariacica,Cariacica,Tucum,41,2,1,1,False,True,False,True,False,False,False,False,False
149522,3322.71,Apartamento,apartamento,Cariacica,Cariacica,Jardim de Alah,45,2,1,0,False,False,False,False,False,False,False,False,False
350000,3932.58,Casa,casa,Cariacica,Cariacica,Piranema,89,2,2,0,False,False,False,False,False,False,False,False,False
346000,5164.18,Casa,casa,Cariacica,Cariacica,Jardim Campo Grande,67,2,1,0,False,False,False,False,False,False,False,False,False
670000,7882.35,Apartamento,apartamento,Cariacica,Cariacica,Campo Grande,85,3,2,0,True,True,False,True,False,True,False,False,False
346000,5164.18,Casa,casa,Cariacica,Cariacica,Jardim Campo Grande,67,2,1,0,True,False,False,False,False,False,False,False,False
425000,1416.67,Casa,casa,Cariacica,Cariacica,Alto Lage,300,4,2,0,False,False,False,False,False,False,False,False,False
700000,2333.33,Casa,casa,Cariacica,Cariacica,Jardim América,300,3,3,0,True,True,True,True,False,False,False,False,False
390000,8666.67,Apartamento,apartamento,Cariacica,Cariacica,Morada de Santa Fé,45,2,1,1,False,True,False,True,False,True,False,False,False
1190000,2228.46,Casa,casa,Cariacica,Cariacica,Itaquari,534,3,2,5,False,False,False,False,False,False,False,False,False
275665,6891.62,Apartamento,apartamento,Cariacica,Cariacica,Nova Valverde,40,2,1,1,False,True,False,True,False,False,False,False,False
