motivo_remocao,preco_venda,preco_m2,tipo_imovel_original,tipo_imovel,cidade_original,cidade,bairro,area_m2,quartos,banheiros,vagas,tem_suite,tem_piscina,tem_varanda,tem_lazer,tem_mobiliado,tem_elevador,preco_suspeito,area_suspeita,preco_m2_suspeito
preco_m2_suspeito,350000,1166.67,Apartamento,apartamento,Cariacica,Cariacica,Santana,300,3,3,2,True,False,False,False,False,False,False,False,True
preco_m2_suspeito,60000,1090.91,Apartamento,apartamento,Cariacica,Cariacica,Padre Gabriel,55,2,1,1,False,False,False,True,False,False,False,False,True
preco_m2_suspeito,2650000,44166.67,Apartamento,apartamento,Cariacica,Cariacica,São Conrado,60,2,2,5,True,False,False,False,False,False,False,False,True
preco_m2_suspeito,80000,470.59,Casa,casa,Fundão,Fundão,Praia Grande,170,3,1,4,False,False,False,False,False,False,False,False,True
preco_m2_suspeito,200000,555.56,Casa,casa,Fundão,Fundão,Praia Grande,360,4,2,5,False,False,False,False,False,False,False,False,True
preco_m2_suspeito,75000,312.5,Apartamento,apartamento,Fundão,Fundão,Praia Grande,240,1,1,10,False,False,False,False,False,False,False,False,True
preco_m2_suspeito,70000,350.0,Casa,casa,Fundão,Fundão,Praia Grande,200,3,1,2,False,False,False,False,False,False,False,False,True
preco_m2_suspeito,65000,260.0,Casa,casa,Fundão,Fundão,Centro,250,2,1,0,False,False,False,False,False,False,False,False,True
preco_m2_suspeito,450000,450.0,Casa,casa,Fundão,Fundão,Praia Grande,1000,3,1,10,True,False,False,False,False,False,False,False,True
preco_m2_suspeito,550000,611.11,Casa,casa,Fundão,Fundão,Praia Grande,900,1,2,10,False,False,False,False,False,False,False,False,True
preco_m2_suspeito,400000,1492.54,Apartamento,apartamento,Guarapari,Guarapari,Condados,268,2,2,1,True,False,False,False,False,False,False,False,True
preco_m2_suspeito,420000,1400.0,Apartamento,apartamento,Guarapari,Guarapari,Muquiçaba,300,2,1,1,False,False,False,False,False,False,False,False,True
preco_m2_suspeito,750000,62500.0,Cobertura,apartamento,Guarapari,Guarapari,Praia do Morro,12,3,1,1,True,False,False,False,True,False,False,False,True
preco_m2_suspeito,279000,775.0,Apartamento,apartamento,Serra,Serra,Vila Nova de Colares,360,3,2,5,True,False,False,False,False,False,False,False,True
preco_m2_suspeito,720000,1500.0,Cobertura,apartamento,Vitória,Vitória,Parque Moscoso,480,4,2,2,True,False,True,False,True,False,False,False,True
