_row_id_base,_row_id_novo,cidade_base,cidade_novo,bairro_base,bairro_novo,tipo_imovel_base,tipo_imovel_novo,preco_venda_base,preco_venda_novo,area_m2_base,area_m2_novo,quartos,banheiros,vagas,dif_preco_abs,dif_preco_pct,dif_area_abs,dif_area_pct
0,4803,Vila Velha,Vila Velha,Alvorada,Alvorada,apartamento,apartamento,300000,300000.0,53,53,2.0,1.0,1.0,0.0,0.0,0,0.0
4,3792,Vila Velha,Vila Velha,Aribiri,Aribiri,apartamento,apartamento,348000,348000.0,47,47,2.0,1.0,0.0,0.0,0.0,0,0.0
11,3515,Vila Velha,Vila Velha,Aribiri,Aribiri,apartamento,apartamento,420160,420160.0,55,55,2.0,1.0,1.0,0.0,0.0,0,0.0
12,4471,Vila Velha,Vila Velha,Aribiri,Aribiri,apartamento,apartamento,422118,422118.0,55,55,2.0,1.0,2.0,0.0,0.0,0,0.0
15,3395,Vila Velha,Vila Velha,Ataíde,Ataíde,apartamento,apartamento,290000,290000.0,45,45,2.0,1.0,1.0,0.0,0.0,0,0.0
15,3759,Vila Velha,Vila Velha,Ataíde,Ataíde,apartamento,apartamento,290000,290000.0,45,45,2.0,1.0,1.0,0.0,0.0,0,0.0
15,4259,Vila Velha,Vila Velha,Ataíde,Ataíde,apartamento,apartamento,290000,290000.0,45,45,2.0,1.0,1.0,0.0,0.0,0,0.0
16,3642,Vila Velha,Vila Velha,Ataíde,Ataíde,apartamento,apartamento,290000,290000.0,44,44,2.0,1.0,1.0,0.0,0.0,0,0.0
17,3395,Vila Velha,Vila Velha,Ataíde,Ataíde,apartamento,apartamento,290000,290000.0,45,45,2.0,1.0,1.0,0.0,0.0,0,0.0
17,3759,Vila Velha,Vila Velha,Ataíde,Ataíde,apartamento,apartamento,290000,290000.0,45,45,2.0,1.0,1.0,0.0,0.0,0,0.0
17,4259,Vila Velha,Vila Velha,Ataíde,Ataíde,apartamento,apartamento,290000,290000.0,45,45,2.0,1.0,1.0,0.0,0.0,0,0.0
21,4225,Vila Velha,Vila Velha,Ataíde,Ataíde,apartamento,apartamento,320000,320000.0,45,45,2.0,1.0,1.0,0.0,0.0,0,0.0
24,4469,Vila Velha,Vila Velha,Ataíde,Ataíde,apartamento,apartamento,350000,350000.0,55,55,2.0,1.0,1.0,0.0,0.0,0,0.0
26,3500,Vila Velha,Vila Velha,Ataíde,Ataíde,apartamento,apartamento,350000,350000.0,51,51,2.0,1.0,1.0,0.0,0.0,0,0.0
27,4469,Vila Velha,Vila Velha,Ataíde,Ataíde,apartamento,apartamento,350000,350000.0,55,55,2.0,1.0,1.0,0.0,0.0,0,0.0
28,3710,Vila Velha,Vila Velha,Ataíde,Ataíde,apartamento,apartamento,350000,350000.0,45,45,2.0,1.0,1.0,0.0,0.0,0,0.0
28,4503,Vila Velha,Vila Velha,Ataíde,Ataíde,apartamento,apartamento,350000,350000.0,45,45,2.0,1.0,1.0,0.0,0.0,0,0.0
29,3500,Vila Velha,Vila Velha,Ataíde,Ataíde,apartamento,apartamento,350000,350000.0,51,51,2.0,1.0,1.0,0.0,0.0,0,0.0
34,4400,Vila Velha,Vila Velha,Ataíde,Ataíde,apartamento,apartamento,390000,390000.0,55,55,2.0,1.0,1.0,0.0,0.0,0,0.0
35,4136,Vila Velha,Vila Velha,Ataíde,Ataíde,apartamento,apartamento,390000,390000.0,44,44,2.0,1.0,1.0,0.0,0.0,0,0.0
43,3376,Vila Velha,Vila Velha,Barra do Jucu,Barra do Jucu,apartamento,apartamento,699000,699000.0,66,66,2.0,2.0,1.0,0.0,0.0,0,0.0
77,3805,Vila Velha,Vila Velha,Cidade da Barra,Cidade da Barra,apartamento,apartamento,280000,280000.0,69,69,2.0,2.0,1.0,0.0,0.0,0,0.0
84,4194,Vila Velha,Vila Velha,Cocal,Cocal,apartamento,apartamento,496200,496200.0,67,67,3.0,2.0,2.0,0.0,0.0,0,0.0
89,4324,Vila Velha,Vila Velha,Coqueiral de Itaparica,Coqueiral de Itaparica,apartamento,apartamento,340000,340000.0,47,47,2.0,1.0,1.0,0.0,0.0,0,0.0
90,3362,Vila Velha,Vila Velha,Coqueiral de Itaparica,Coqueiral de Itaparica,apartamento,apartamento,349990,349990.0,47,47,2.0,1.0,1.0,0.0,0.0,0,0.0
102,4788,Vila Velha,Vila Velha,Coqueiral de Itaparica,Coqueiral de Itaparica,apartamento,apartamento,420000,420000.0,75,75,3.0,2.0,1.0,0.0,0.0,0,0.0
109,3367,Vila Velha,Vila Velha,Coqueiral de Itaparica,Coqueiral de Itaparica,apartamento,apartamento,450000,450000.0,83,83,3.0,2.0,1.0,0.0,0.0,0,0.0
119,4806,Vila Velha,Vila Velha,Coqueiral de Itaparica,Coqueiral de Itaparica,apartamento,apartamento,477000,477000.0,84,84,3.0,2.0,1.0,0.0,0.0,0,0.0
125,4250,Vila Velha,Vila Velha,Coqueiral de Itaparica,Coqueiral de Itaparica,apartamento,apartamento,550000,550000.0,90,90,2.0,2.0,1.0,0.0,0.0,0,0.0
141,4467,Vila Velha,Vila Velha,Coqueiral de Itaparica,Coqueiral de Itaparica,apartamento,apartamento,671103,671103.0,56,56,2.0,2.0,2.0,0.0,0.0,0,0.0
145,3639,Vila Velha,Vila Velha,Coqueiral de Itaparica,Coqueiral de Itaparica,apartamento,apartamento,690000,690000.0,103,103,3.0,2.0,1.0,0.0,0.0,0,0.0
147,3639,Vila Velha,Vila Velha,Coqueiral de Itaparica,Coqueiral de Itaparica,apartamento,apartamento,690000,690000.0,103,103,3.0,2.0,1.0,0.0,0.0,0,0.0
148,3639,Vila Velha,Vila Velha,Coqueiral de Itaparica,Coqueiral de Itaparica,apartamento,apartamento,690000,690000.0,103,103,3.0,2.0,1.0,0.0,0.0,0,0.0
177,4744,Vila Velha,Vila Velha,Divino Espírito Santo,Divino Espírito Santo,apartamento,apartamento,365000,365000.0,55,55,2.0,1.0,1.0,0.0,0.0,0,0.0
178,4744,Vila Velha,Vila Velha,Divino Espírito Santo,Divino Espírito Santo,apartamento,apartamento,365000,365000.0,55,55,2.0,1.0,1.0,0.0,0.0,0,0.0
191,4528,Vila Velha,Vila Velha,Ilha das Flores,Ilha das Flores,apartamento,apartamento,600000,600000.0,235,235,3.0,2.0,1.0,0.0,0.0,0,0.0
194,3690,Vila Velha,Vila Velha,Ilha dos Bentos,Ilha dos Bentos,apartamento,apartamento,250000,250000.0,60,60,2.0,1.0,0.0,0.0,0.0,0,0.0
219,4773,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,550000,550000.0,73,73,3.0,2.0,1.0,0.0,0.0,0,0.0
223,3845,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,580000,580000.0,83,83,3.0,2.0,1.0,0.0,0.0,0,0.0
226,3507,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,580000,580000.0,74,74,2.0,2.0,1.0,0.0,0.0,0,0.0
246,3609,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,640000,640000.0,94,94,3.0,2.0,1.0,0.0,0.0,0,0.0
248,3427,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,650000,650000.0,68,68,2.0,2.0,1.0,0.0,0.0,0,0.0
259,4055,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,670000,670000.0,70,70,2.0,2.0,1.0,0.0,0.0,0,0.0
259,4175,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,670000,670000.0,70,70,2.0,2.0,1.0,0.0,0.0,0,0.0
260,4055,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,670000,670000.0,70,70,2.0,2.0,1.0,0.0,0.0,0,0.0
260,4175,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,670000,670000.0,70,70,2.0,2.0,1.0,0.0,0.0,0,0.0
262,4055,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,670000,670000.0,70,70,2.0,2.0,1.0,0.0,0.0,0,0.0
262,4175,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,670000,670000.0,70,70,2.0,2.0,1.0,0.0,0.0,0,0.0
265,3974,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,690000,690000.0,65,65,2.0,2.0,1.0,0.0,0.0,0,0.0
265,4254,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,690000,690000.0,65,65,2.0,2.0,1.0,0.0,0.0,0,0.0
266,3675,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,690000,690000.0,80,80,2.0,2.0,1.0,0.0,0.0,0,0.0
273,3419,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,700000,700000.0,70,70,2.0,2.0,1.0,0.0,0.0,0,0.0
273,3719,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,700000,700000.0,70,70,2.0,2.0,1.0,0.0,0.0,0,0.0
273,3949,Vila Velha,Vila Velha,Itapuã,Itapuã,apartamento,apartamento,700000,700000.0,70,70,2.0,2.0,1.0,0.0,0.0,0,0.0
