preco_venda,tipo_imovel,subtipo_imovel,cidade,bairro,area_m2,quartos,banheiros,vagas,qtd_imagens,idade_anuncio_dias,tem_suite,tem_piscina,tem_varanda,tem_lazer,tem_mobiliado,tem_elevador
109990,apartamento,loft_studio,Cariacica,Alto Lage,16,1.0,1.0,1.0,13,58,True,False,False,True,False,True
265000,apartamento,apartamento_padrao,Cariacica,Alto Lage,46,2.0,1.0,1.0,11,20,False,True,False,True,False,True
480000,apartamento,apartamento_padrao,Cariacica,Alto Lage,160,3.0,2.0,1.0,7,595,True,False,False,False,False,False
480000,apartamento,apartamento_padrao,Cariacica,Alto Lage,166,3.0,2.0,1.0,7,595,False,False,False,False,False,False
480000,apartamento,apartamento_padrao,Cariacica,Alto Lage,160,3.0,2.0,1.0,7,595,True,False,False,False,False,False
480000,apartamento,apartamento_padrao,Cariacica,Alto Lage,166,3.0,2.0,1.0,6,595,False,False,False,False,False,False
800000,apartamento,apartamento_padrao,Cariacica,Alto Lage,360,2.0,1.0,5.0,20,55,False,False,False,False,False,False
223000,apartamento,apartamento_padrao,Cariacica,Alzira Ramos,41,2.0,1.0,1.0,13,145,False,False,False,False,False,False
370000,apartamento,apartamento_padrao,Cariacica,Bandeirantes,56,2.0,1.0,2.0,17,76,False,False,False,False,False,False
370000,apartamento,apartamento_padrao,Cariacica,Bandeirantes,56,2.0,1.0,2.0,17,76,False,False,False,False,False,False
290000,apartamento,apartamento_padrao,Cariacica,Bela Aurora,110,2.0,1.0,,14,830,False,False,False,False,False,False
350000,apartamento,apartamento_padrao,Cariacica,Bela Aurora,110,3.0,2.0,,11,843,True,False,False,False,False,False
360000,apartamento,apartamento_padrao,Cariacica,Bela Aurora,100,3.0,2.0,0.0,14,60,False,False,True,False,False,False
499999,apartamento,apartamento_padrao,Cariacica,Bela Aurora,206,3.0,2.0,0.0,20,216,False,False,True,False,False,False
164800,apartamento,apartamento_padrao,Cariacica,Campina Grande,39,1.0,1.0,1.0,18,416,False,True,False,True,False,False
195000,apartamento,apartamento_padrao,Cariacica,Campina Grande,70,2.0,1.0,1.0,12,635,False,False,True,False,False,False
210000,apartamento,apartamento_padrao,Cariacica,Campina Grande,45,2.0,1.0,1.0,14,72,False,True,False,True,False,False
230000,apartamento,apartamento_padrao,Cariacica,Campina Grande,45,2.0,1.0,1.0,14,23,False,False,False,False,False,False
245000,apartamento,apartamento_padrao,Cariacica,Campina Grande,44,2.0,1.0,1.0,5,44,False,True,False,True,False,False
250000,apartamento,apartamento_padrao,Cariacica,Campina Grande,44,2.0,1.0,1.0,10,188,False,False,False,True,False,False
260000,apartamento,apartamento_padrao,Cariacica,Campina Grande,42,2.0,1.0,1.0,19,40,False,True,False,True,False,False
160000,apartamento,apartamento_padrao,Cariacica,Campo Grande,50,2.0,1.0,1.0,15,53,False,False,False,False,False,False
200000,apartamento,apartamento_padrao,Cariacica,Campo Grande,53,2.0,1.0,1.0,8,12,False,False,True,False,False,False
210000,apartamento,apartamento_padrao,Cariacica,Campo Grande,42,2.0,1.0,1.0,5,14,False,True,False,True,False,False
249000,apartamento,apartamento_padrao,Cariacica,Campo Grande,90,2.0,1.0,0.0,11,47,False,False,False,False,False,False
250000,apartamento,apartamento_padrao,Cariacica,Campo Grande,64,2.0,1.0,,9,130,False,False,False,False,False,False
257000,apartamento,apartamento_padrao,Cariacica,Campo Grande,41,2.0,,1.0,5,53,False,True,False,False,False,False
265000,apartamento,apartamento_padrao,Cariacica,Campo Grande,85,2.0,1.0,0.0,8,201,False,False,False,False,False,False
300000,apartamento,apartamento_padrao,Cariacica,Campo Grande,76,2.0,2.0,0.0,17,11,False,False,False,False,False,False
305000,apartamento,apartamento_padrao,Cariacica,Campo Grande,46,2.0,1.0,1.0,12,47,False,True,False,False,False,True
310000,apartamento,apartamento_padrao,Cariacica,Campo Grande,46,2.0,1.0,1.0,11,25,False,True,False,True,False,False
355000,apartamento,apartamento_padrao,Cariacica,Campo Grande,63,3.0,2.0,1.0,11,49,False,False,True,True,True,False
410000,apartamento,apartamento_padrao,Cariacica,Campo Grande,101,2.0,2.0,,12,5,False,False,True,False,False,False
420000,apartamento,apartamento_padrao,Cariacica,Campo Grande,76,2.0,1.0,1.0,12,32,False,False,False,False,False,False
420000,apartamento,apartamento_padrao,Cariacica,Campo Grande,76,2.0,1.0,1.0,12,32,False,False,False,False,False,False
