_row_id_base,_row_id_novo,cidade_base,cidade_novo,bairro_base,bairro_novo,tipo_imovel_base,tipo_imovel_novo,preco_venda_base,preco_venda_novo,area_m2_base,area_m2_novo,quartos,banheiros,vagas,dif_preco_abs,dif_preco_pct,dif_area_abs,dif_area_pct
0,4660,Vila Velha,Vila Velha,Alvorada,Alvorada,apartamento,apartamento,300000,300000,53,53,2.0,1.0,1.0,0,0.0,0,0.0
4,3652,Vila Velha,Vila Velha,Aribiri,Aribiri,apartamento,apartamento,348000,348000,47,47,2.0,1.0,0.0,0,0.0,0,0.0
11,3375,Vila Velha,Vila Velha,Aribiri,Aribiri,apartamento,apartamento,420160,420160,55,55,2.0,1.0,1.0,0,0.0,0,0.0
12,4329,Vila Velha,Vila Velha,Aribiri,Aribiri,apartamento,apartamento,422118,422118,55,55,2.0,1.0,2.0,0,0.0,0,0.0
15,3255,Vila Velha,Vila Velha,Ataíde,Ataíde,apartamento,apartamento,290000,290000,45,45,2.0,1.0,1.0,0,0.0,0,0.0
15,3619,Vila Velha,Vila Velha,Ataíde,Ataíde,apartamento,apartamento,290000,290000,45,45,2.0,1.0,1.0,0,0.0,0,0.0
15,4117,Vila Velha,Vila Velha,Ataíde,Ataíde,apartamento,apartamento,290000,290000,45,45,2.0,1.0,1.0,0,0.0,0,0.0
16,3502,Vila Velha,Vila Velha,Ataíde,Ataíde,apartamento,apartamento,290000,290000,44,44,2.0,1.0,1.0,0,0.0,0,0.0
17,3255,Vila Velha,Vila Velha,Ataíde,Ataíde,apartamento,apartamento,290000,290000,45,45,2.0,1.0,1.0,0,0.0,0,0.0
17,3619,Vila Velha,Vila Velha,Ataíde,Ataíde,apartamento,apartamento,290000,290000,45,45,2.0,1.0,1.0,0,0.0,0,0.0
17,4117,Vila Velha,Vila Velha,Ataíde,Ataíde,apartamento,apartamento,290000,290000,45,45,2.0,1.0,1.0,0,0.0,0,0.0
21,4083,Vila Velha,Vila Velha,Ataíde,Ataíde,apartamento,apartamento,320000,320000,45,45,2.0,1.0,1.0,0,0.0,0,0.0
24,4327,Vila Velha,Vila Velha,Ataíde,Ataíde,apartamento,apartamento,350000,350000,55,55,2.0,1.0,1.0,0,0.0,0,0.0
26,3360,Vila Velha,Vila Velha,Ataíde,Ataíde,apartamento,apartamento,350000,350000,51,51,2.0,1.0,1.0,0,0.0,0,0.0
27,4327,Vila Velha,Vila Velha,Ataíde,Ataíde,apartamento,apartamento,350000,350000,55,55,2.0,1.0,1.0,0,0.0,0,0.0
28,3570,Vila Velha,Vila Velha,Ataíde,Ataíde,apartamento,apartamento,350000,350000,45,45,2.0,1.0,1.0,0,0.0,0,0.0
28,4361,Vila Velha,Vila Velha,Ataíde,Ataíde,apartamento,apartamento,350000,350000,45,45,2.0,1.0,1.0,0,0.0,0,0.0
29,3360,Vila Velha,Vila Velha,Ataíde,Ataíde,apartamento,apartamento,350000,350000,51,51,2.0,1.0,1.0,0,0.0,0,0.0
34,4258,Vila Velha,Vila Velha,Ataíde,Ataíde,apartamento,apartamento,390000,390000,55,55,2.0,1.0,1.0,0,0.0,0,0.0
35,3995,Vila Velha,Vila Velha,Ataíde,Ataíde,apartamento,apartamento,390000,390000,44,44,2.0,1.0,1.0,0,0.0,0,0.0
43,3236,Vila Velha,Vila Velha,Barra do Jucu,Barra do Jucu,apartamento,apartamento,699000,699000,66,66,2.0,2.0,1.0,0,0.0,0,0.0
77,3665,Vila Velha,Vila Velha,Cidade da Barra,Cidade da Barra,apartamento,apartamento,280000,280000,69,69,2.0,2.0,1.0,0,0.0,0,0.0
84,4052,Vila Velha,Vila Velha,Cocal,Cocal,apartamento,apartamento,496200,496200,67,67,3.0,2.0,2.0,0,0.0,0,0.0
89,4182,Vila Velha,Vila Velha,Coqueiral de Itaparica,Coqueiral de Itaparica,apartamento,apartamento,340000,340000,47,47,2.0,1.0,1.0,0,0.0,0,0.0
90,3222,Vila Velha,Vila Velha,Coqueiral de Itaparica,Coqueiral de Itaparica,apartamento,apartamento,349990,349990,47,47,2.0,1.0,1.0,0,0.0,0,0.0
102,4645,Vila Velha,Vila Velha,Coqueiral de Itaparica,Coqueiral de Itaparica,apartamento,apartamento,420000,420000,75,75,3.0,2.0,1.0,0,0.0,0,0.0
109,3227,Vila Velha,Vila Velha,Coqueiral de Itaparica,Coqueiral de Itaparica,apartamento,apartamento,450000,450000,83,83,3.0,2.0,1.0,0,0.0,0,0.0
119,4663,Vila Velha,Vila Velha,Coqueiral de Itaparica,Coqueiral de Itaparica,apartamento,apartamento,477000,477000,84,84,3.0,2.0,1.0,0,0.0,0,0.0
