preco_venda,tipo_imovel,cidade,bairro,area_m2,quartos,banheiros,vagas,tem_suite,tem_piscina,tem_varanda,tem_lazer,tem_mobiliado,tem_elevador
362900,apartamento,Cariacica,Morada de Santa Fé,45,2,1,1,False,True,False,True,False,True
200000,casa,Cariacica,Cariacica Sede,210,3,1,2,False,False,False,False,False,False
409900,apartamento,Cariacica,Morada de Santa Fé,52,3,1,1,False,True,False,True,False,True
355000,apartamento,Cariacica,São Geraldo,63,3,2,1,True,False,False,True,False,True
260000,apartamento,Cariacica,Tucum,43,2,1,1,False,True,False,True,False,False
650000,casa,Cariacica,Alto Lage,275,4,3,2,True,True,True,False,False,False
350000,casa,Cariacica,Jardim Campo Grande,70,2,1,1,True,False,False,False,False,False
230000,casa,Cariacica,Jardim Campo Grande,80,2,1,1,False,False,False,False,False,False
325165,apartamento,Cariacica,Nova Valverde,54,2,1,1,False,True,False,True,False,True
350000,apartamento,Cariacica,Rio Branco,55,2,1,1,True,False,False,False,False,False
440000,apartamento,Cariacica,São Geraldo,63,3,1,1,True,False,False,True,False,True
361100,apartamento,Cariacica,Morada de Santa Fé,45,2,1,1,False,True,False,True,False,True
415000,casa,Cariacica,Santa Bárbara,120,3,2,2,True,False,False,False,False,False
320000,apartamento,Cariacica,Rio Branco,55,2,2,1,True,True,False,True,False,True
332000,apartamento,Cariacica,Morada de Santa Fé,43,2,1,1,False,True,False,True,False,True
220000,apartamento,Cariacica,Tucum,41,2,1,1,False,True,False,True,False,False
390000,apartamento,Cariacica,Morada de Santa Fé,45,2,1,1,False,True,False,True,False,True
1190000,casa,Cariacica,Itaquari,534,3,2,5,False,False,False,False,False,False
275665,apartamento,Cariacica,Nova Valverde,40,2,1,1,False,True,False,True,False,False
700000,casa,Cariacica,Jardim América,220,3,2,3,True,True,False,False,False,False
330296,apartamento,Cariacica,Nova Valverde,54,2,1,1,False,True,False,True,False,True
230000,apartamento,Cariacica,Jardim de Alah,45,2,1,1,False,True,False,True,False,True
415900,apartamento,Cariacica,Morada de Santa Fé,52,3,1,1,True,True,False,True,False,True
299000,apartamento,Cariacica,Morada de Santa Fé,44,2,1,1,False,True,False,True,False,True
425000,apartamento,Cariacica,Rio Branco,67,3,2,2,True,True,False,True,False,True
420000,casa,Cariacica,Alto Lage,150,2,2,2,True,False,False,False,False,False
599000,casa,Cariacica,Jardim América,180,3,4,3,True,False,True,False,False,False
118800,apartamento,Cariacica,Tucum,41,2,1,1,False,False,False,False,False,False
1245000,apartamento,Cariacica,Campo Grande,116,4,1,2,True,True,True,True,False,True
950000,casa,Cariacica,Tabajara,350,5,4,2,True,True,False,False,False,False
1245000,apartamento,Cariacica,Campo Grande,116,3,2,2,True,False,False,False,False,False
355000,apartamento,Cariacica,São Geraldo,63,3,1,1,True,False,False,False,False,False
750000,casa,Cariacica,São Conrado,252,3,2,2,True,False,True,False,False,False
1050000,apartamento,Cariacica,Campo Grande,115,4,2,2,True,True,True,True,False,True
370000,apartamento,Cariacica,São Geraldo,66,2,1,1,True,False,False,False,False,False
