preco_venda,tipo_imovel,cidade,bairro,area_m2,quartos,banheiros,vagas,tem_suite,tem_piscina,tem_varanda,tem_lazer,tem_mobiliado,tem_elevador,fonte_dataset
300000,apartamento,Vila Velha,Alvorada,53,2,1,1,False,True,False,True,False,False,base_original
210000,apartamento,Vila Velha,Araçás,42,2,1,1,False,False,False,False,False,False,base_original
794350,apartamento,Vila Velha,Araçás,58,2,1,1,False,True,True,True,False,False,base_original
319900,apartamento,Vila Velha,Aribiri,57,2,1,1,False,True,False,True,False,True,base_original
348000,apartamento,Vila Velha,Aribiri,47,2,1,0,False,True,True,True,False,True,base_original
350000,apartamento,Vila Velha,Aribiri,51,2,1,1,False,True,False,True,False,True,base_original
350000,apartamento,Vila Velha,Aribiri,51,2,1,1,False,False,False,False,False,False,base_original
350000,apartamento,Vila Velha,Aribiri,51,2,1,1,False,False,False,False,False,False,base_original
369900,apartamento,Vila Velha,Aribiri,47,2,1,1,False,True,False,True,False,True,base_original
376000,apartamento,Vila Velha,Aribiri,47,2,1,1,False,True,True,True,False,True,base_original
420016,apartamento,Vila Velha,Aribiri,55,2,1,1,False,False,False,False,False,False,base_original
420160,apartamento,Vila Velha,Aribiri,55,2,1,1,False,False,False,False,False,False,base_original
422118,apartamento,Vila Velha,Aribiri,55,2,1,2,False,True,True,False,False,False,base_original
750000,apartamento,Vila Velha,Aribiri,59,2,2,1,False,True,True,True,False,True,base_original
190000,apartamento,Vila Velha,Ataíde,48,2,1,1,False,False,False,False,False,False,base_original
290000,apartamento,Vila Velha,Ataíde,45,2,1,1,False,True,True,True,False,True,base_original
290000,apartamento,Vila Velha,Ataíde,44,2,1,1,False,True,True,True,False,True,base_original
290000,apartamento,Vila Velha,Ataíde,45,2,1,1,False,True,False,True,False,True,base_original
299000,apartamento,Vila Velha,Ataíde,45,2,1,1,False,True,True,False,False,False,base_original
315000,apartamento,Vila Velha,Ataíde,46,2,1,1,False,True,False,True,False,True,base_original
318000,apartamento,Vila Velha,Ataíde,44,2,1,1,False,True,True,True,False,True,base_original
320000,apartamento,Vila Velha,Ataíde,45,2,1,1,False,True,False,True,False,True,base_original
345000,apartamento,Vila Velha,Ataíde,47,2,1,1,False,True,False,True,False,True,base_original
350000,apartamento,Vila Velha,Ataíde,45,2,2,1,False,False,False,False,False,False,base_original
350000,apartamento,Vila Velha,Ataíde,55,2,1,1,False,True,False,False,False,False,base_original
350000,apartamento,Vila Velha,Ataíde,54,1,1,1,False,True,True,True,False,True,base_original
350000,apartamento,Vila Velha,Ataíde,51,2,1,1,False,False,False,False,False,False,base_original
350000,apartamento,Vila Velha,Ataíde,55,2,1,1,False,True,True,True,True,True,base_original
350000,apartamento,Vila Velha,Ataíde,45,2,1,1,False,True,False,True,False,True,base_original
350000,apartamento,Vila Velha,Ataíde,51,2,1,1,False,True,True,True,False,True,base_original
360000,apartamento,Vila Velha,Ataíde,52,2,1,1,False,True,True,True,False,False,base_original
370000,apartamento,Vila Velha,Ataíde,55,2,1,1,False,True,True,True,False,True,base_original
370000,apartamento,Vila Velha,Ataíde,55,2,1,1,False,True,False,True,False,False,base_original
380000,apartamento,Vila Velha,Ataíde,43,2,1,1,False,True,True,True,False,True,base_original
390000,apartamento,Vila Velha,Ataíde,55,2,1,1,False,True,False,True,False,True,base_original
390000,apartamento,Vila Velha,Ataíde,44,2,1,1,False,True,True,False,False,True,base_original
390000,apartamento,Vila Velha,Ataíde,60,2,2,1,False,True,False,True,False,True,base_original
395000,apartamento,Vila Velha,Ataíde,75,2,1,1,False,True,False,True,False,True,base_original
400000,apartamento,Vila Velha,Ataíde,75,2,1,1,False,False,True,True,False,True,base_original
440000,apartamento,Vila Velha,Ataíde,50,2,1,1,False,False,True,False,False,True,base_original
450000,apartamento,Vila Velha,Ataíde,51,2,2,1,True,True,True,True,False,True,base_original
600000,apartamento,Vila Velha,Balneário Ponta da Fruta,244,5,1,5,False,False,True,False,False,False,base_original
450000,apartamento,Vila Velha,Barra do Jucu,73,3,2,1,False,False,False,True,True,False,base_original
699000,apartamento,Vila Velha,Barra do Jucu,66,2,2,1,False,False,True,True,False,True,base_original
230000,apartamento,Vila Velha,Boa Vista II,46,2,1,1,False,False,False,False,False,False,base_original
1600000,apartamento,Vila Velha,Brisamar,430,5,5,4,False,False,True,False,False,False,base_original
360000,apartamento,Vila Velha,Centro de Vila Velha,70,2,1,1,False,False,False,False,False,False,base_original
430000,apartamento,Vila Velha,Centro de Vila Velha,100,2,1,1,False,False,False,False,False,True,base_original
430000,apartamento,Vila Velha,Centro de Vila Velha,55,2,2,1,False,False,False,False,False,False,base_original
540000,apartamento,Vila Velha,Centro de Vila Velha,100,3,2,1,False,False,False,False,False,True,base_original
540000,apartamento,Vila Velha,Centro de Vila Velha,100,3,2,1,False,False,False,False,False,False,base_original
540000,apartamento,Vila Velha,Centro de Vila Velha,100,3,2,1,True,False,False,False,False,False,base_original
540055,apartamento,Vila Velha,Centro de Vila Velha,100,3,2,1,True,False,False,False,False,False,base_original
550000,apartamento,Vila Velha,Centro de Vila Velha,91,2,2,1,False,False,False,True,False,True,base_original
550000,apartamento,Vila Velha,Centro de Vila Velha,91,2,1,1,False,False,False,True,False,True,base_original
550000,apartamento,Vila Velha,Centro de Vila Velha,91,3,2,1,False,False,False,True,False,True,base_original
675000,apartamento,Vila Velha,Centro de Vila Velha,62,2,2,1,False,True,True,True,False,True,base_original
690000,apartamento,Vila Velha,Centro de Vila Velha,297,4,1,1,False,False,True,False,False,False,base_original
690000,apartamento,Vila Velha,Centro de Vila Velha,297,4,1,1,False,False,True,False,False,False,base_original
700000,apartamento,Vila Velha,Centro de Vila Velha,87,3,2,1,False,False,False,False,False,False,base_original
700000,apartamento,Vila Velha,Centro de Vila Velha,90,3,2,1,False,False,True,False,False,True,base_original
700000,apartamento,Vila Velha,Centro de Vila Velha,87,3,2,1,False,False,False,False,False,False,base_original
700000,apartamento,Vila Velha,Centro de Vila Velha,87,3,2,1,False,False,False,False,False,False,base_original
700000,apartamento,Vila Velha,Centro de Vila Velha,91,3,2,1,False,False,True,False,False,True,base_original
700000,apartamento,Vila Velha,Centro de Vila Velha,87,3,2,1,False,False,False,False,False,False,base_original
700077,apartamento,Vila Velha,Centro de Vila Velha,96,3,2,1,False,False,False,False,False,False,base_original
780000,apartamento,Vila Velha,Centro de Vila Velha,153,3,2,1,True,False,False,False,False,False,base_original
788007,apartamento,Vila Velha,Centro de Vila Velha,153,3,2,1,True,False,False,False,False,False,base_original
850000,apartamento,Vila Velha,Centro de Vila Velha,138,3,3,1,True,False,False,False,False,True,base_original
895000,apartamento,Vila Velha,Centro de Vila Velha,136,3,3,1,True,False,False,False,False,False,base_original
895099,apartamento,Vila Velha,Centro de Vila Velha,136,3,3,1,True,False,False,False,False,False,base_original
999000,apartamento,Vila Velha,Centro de Vila Velha,137,3,2,1,False,False,False,True,False,True,base_original
1200000,apartamento,Vila Velha,Centro de Vila Velha,184,2,2,,False,False,True,False,False,False,base_original
1580332,apartamento,Vila Velha,Centro de Vila Velha,240,4,3,2,False,False,False,False,False,False,base_original
1700000,apartamento,Vila Velha,Centro de Vila Velha,503,5,5,3,False,True,True,False,False,False,base_original
1700000,apartamento,Vila Velha,Centro de Vila Velha,503,5,5,3,False,True,True,False,False,False,base_original
279000,apartamento,Vila Velha,Cidade da Barra,69,2,2,1,False,False,False,False,False,False,base_original
280000,apartamento,Vila Velha,Cidade da Barra,69,2,2,1,False,False,False,False,False,False,base_original
300000,apartamento,Vila Velha,Cobilândia,78,3,1,1,False,False,False,False,False,False,base_original
2000000,apartamento,Vila Velha,Cobilândia,700,4,5,4,False,False,True,False,True,False,base_original
2300000,apartamento,Vila Velha,Cobilândia,710,5,5,5,False,False,True,False,False,False,base_original
300000,apartamento,Vila Velha,Cocal,50,2,1,,False,False,False,False,False,False,base_original
408560,apartamento,Vila Velha,Cocal,51,2,2,0,True,True,True,False,False,True,base_original
494500,apartamento,Vila Velha,Cocal,47,2,1,1,False,True,True,True,False,False,base_original
496200,apartamento,Vila Velha,Cocal,67,3,2,2,True,True,True,False,False,True,base_original
571200,apartamento,Vila Velha,Cocal,53,2,1,1,False,True,True,True,False,False,base_original
590000,apartamento,Vila Velha,Cocal,50,2,1,1,False,True,True,True,False,False,base_original
590000,apartamento,Vila Velha,Cocal,50,2,1,1,False,True,True,True,False,False,base_original
250000,apartamento,Vila Velha,Coqueiral de Itaparica,45,1,1,1,False,True,False,True,False,True,base_original
340000,apartamento,Vila Velha,Coqueiral de Itaparica,47,2,1,1,False,False,False,True,False,False,base_original
349990,apartamento,Vila Velha,Coqueiral de Itaparica,47,2,1,1,False,False,False,False,False,False,base_original
360000,apartamento,Vila Velha,Coqueiral de Itaparica,47,2,1,2,False,False,False,True,False,False,base_original
360000,apartamento,Vila Velha,Coqueiral de Itaparica,60,2,1,1,False,False,False,False,False,False,base_original
360000,apartamento,Vila Velha,Coqueiral de Itaparica,60,2,1,1,False,False,False,False,False,False,base_original
367000,apartamento,Vila Velha,Coqueiral de Itaparica,48,2,1,1,False,False,False,False,False,False,base_original
370000,apartamento,Vila Velha,Coqueiral de Itaparica,60,2,1,2,False,True,False,True,False,False,base_original
370000,apartamento,Vila Velha,Coqueiral de Itaparica,75,3,2,2,False,False,False,False,False,False,base_original
370000,apartamento,Vila Velha,Coqueiral de Itaparica,55,2,1,1,False,False,False,True,False,False,base_original
375000,apartamento,Vila Velha,Coqueiral de Itaparica,47,2,1,1,False,False,False,True,False,False,base_original
380000,apartamento,Vila Velha,Coqueiral de Itaparica,47,2,1,1,False,False,False,False,True,False,base_original
400000,apartamento,Vila Velha,Coqueiral de Itaparica,47,2,1,0,False,False,False,True,False,False,base_original
410000,apartamento,Vila Velha,Coqueiral de Itaparica,74,3,2,2,False,False,False,True,False,False,base_original
420000,apartamento,Vila Velha,Coqueiral de Itaparica,75,3,2,1,False,False,False,False,False,False,base_original
429493,apartamento,Vila Velha,Coqueiral de Itaparica,32,1,1,1,False,False,True,True,False,False,base_original
