motivo_remocao,id_anuncio,titulo,url,categoria_olx,tipo_detalhado,tipo_url,data_anuncio_olx,data_coleta,preco_venda,area_m2,preco_m2,cidade,bairro,tipo_imovel,subtipo_imovel,quartos,banheiros,vagas,qtd_imagens,idade_anuncio_dias,tem_suite,tem_piscina,tem_varanda,tem_lazer,tem_mobiliado,tem_elevador,area_suspeita,preco_suspeito,preco_m2_suspeito,preco_m2_suspeito_original
preco_suspeito,1438631901,VENDO APARTAMENTO AMPLO 116m² EM CAMPO GRANDE COM 2 VAGAS  OPORTUNIDADE ÚNICA,https://es.olx.com.br/norte-do-espirito-santo/imoveis/vendo-apartamento-amplo-116m-em-campo-grande-com-2-vagas-oportunidade-unica-1438631901,Apartamentos,Venda - apartamento padrão,apartamento,2025-09-20T10:13:27,2026-07-06T22:25:48,449000000,116,3870689.66,Cariacica,Campo Grande,apartamento,apartamento_padrao,3,2,2,20,289,False,False,False,False,False,False,False,True,True,True
area_suspeita,1511391454,"Apto no Bairro Cruzeiro do Sul, com 3 quartos, sala, cozinha, 3 banheiros, churrasqueira.",https://es.olx.com.br/norte-do-espirito-santo/imoveis/apto-no-bairro-cruzeiro-do-sul-com-3-quartos-sala-cozinha-3-banheiros-churrasqueira-1511391454,Apartamentos,Venda - apartamento cobertura,apartamento,2026-06-17T22:13:36,2026-07-06T22:24:50,700000,14764,47.41,Cariacica,Cruzeiro do Sul,apartamento,apartamento_cobertura,3,3,1,19,19,False,False,False,False,False,False,True,False,True,True
preco_suspeito,1513195498,Apartamento condomínio Clube,https://es.olx.com.br/norte-do-espirito-santo/imoveis/apartamento-condominio-clube-1513195498,Apartamentos,Venda - apartamento padrão,apartamento,2026-06-25T08:57:10,2026-07-06T22:24:32,280,54,5.19,Cariacica,Maracanã,apartamento,apartamento_padrao,2,1,1,5,11,False,True,True,True,False,True,False,True,True,True
area_m2_invalida,1514146674,"Apartamento 2 Quartos à Venda - Bairro Padre Gabriel, Cariacica",https://es.olx.com.br/norte-do-espirito-santo/imoveis/apartamento-2-quartos-a-venda-bairro-padre-gabriel-cariacica-1514146674,Apartamentos,Venda - apartamento padrão,apartamento,2026-06-29T13:26:36,2026-07-06T22:24:32,110000,0,,Cariacica,Padre Gabriel,apartamento,apartamento_padrao,2,1,1,1,7,False,False,False,True,False,False,True,False,False,False
preco_suspeito,1501530709,Vende-se um apartamento,https://es.olx.com.br/norte-do-espirito-santo/imoveis/vende-se-um-apartamento-1501530709,Apartamentos,Venda - apartamento padrão,apartamento,2026-05-12T18:44:23,2026-07-06T22:25:25,200,90,2.22,Cariacica,São Francisco,apartamento,apartamento_padrao,3,2,1,14,55,False,False,True,False,False,False,False,True,True,True
area_m2_invalida,1515491296,Apartamento tucum cariacica,https://es.olx.com.br/norte-do-espirito-santo/imoveis/apartamento-tucum-cariacica-1515491296,Apartamentos,Venda - apartamento padrão,apartamento,2026-07-04T08:45:03,2026-07-06T22:24:32,240000,0,,Cariacica,Tucum,apartamento,apartamento_padrao,2,1,1,1,2,False,True,False,True,False,False,True,False,False,False
area_m2_invalida,1515399828,Terraço do terceiro andar entrada independente de esquina rua asfaltada,https://es.olx.com.br/norte-do-espirito-santo/imoveis/terraco-do-terceiro-andar-entrada-independente-de-esquina-rua-asfaltada-1515399828,Casas,Venda - casa em rua pública,casa,2026-07-03T19:41:48,2026-07-06T22:28:30,35000,0,,Cariacica,Aparecida,casa,casa_rua_publica,2,1,0,2,3,False,False,False,False,False,False,True,True,False,False
area_suspeita,1494633242,VENDO CASA EM BANDEIRANTES,https://es.olx.com.br/norte-do-espirito-santo/imoveis/vendo-casa-em-bandeirantes-1494633242,Casas,Venda - casa em rua pública,casa,2026-06-22T09:25:37,2026-07-06T22:29:02,200000,130000,1.54,Cariacica,Bandeirantes,casa,casa_rua_publica,2,1,1,8,14,False,False,True,False,False,False,True,False,True,True
preco_suspeito,1510370400,Passa-se uma casa,https://es.olx.com.br/norte-do-espirito-santo/imoveis/passa-se-uma-casa-1510370400,Casas,Venda - casa em vila,casa,2026-06-14T08:59:35,2026-07-06T22:30:03,300,800,0.38,Cariacica,Bubú,casa,casa,3,2,5,16,22,False,False,False,False,False,False,False,True,True,True
sem_preco_venda,1416399791,LINDA CASA COM PISCINA EM PARQUE INFANTIL CARIACICA,https://es.olx.com.br/norte-do-espirito-santo/imoveis/linda-casa-com-piscina-em-parque-infantil-cariacica-1416399791,Casas,Venda - casa em rua pública,casa,2026-05-14T17:17:38,2026-07-06T22:33:42,,,,Cariacica,Campo Grande,casa,casa_rua_publica,3,2,1,10,53,False,True,False,False,False,False,False,False,False,False
preco_suspeito,1504647056,Vendo casa Duplex,https://es.olx.com.br/norte-do-espirito-santo/imoveis/vendo-casa-duplex-1504647056,Casas,Venda - casa em vila,casa,2026-05-24T15:38:11,2026-07-06T22:32:06,250,12,20.83,Cariacica,Cariacica Sede,casa,casa,3,2,2,20,43,False,False,True,False,False,False,False,True,True,True
area_suspeita,1512191823,Chácara com casa,https://es.olx.com.br/norte-do-espirito-santo/imoveis/chacara-com-casa-1512191823,Casas,Venda - casa em rua pública,casa,2026-06-21T10:29:35,2026-07-06T22:29:20,95000,2,47500.0,Cariacica,Cariacica Sede,casa,casa_rua_publica,1,1,1,5,15,False,False,False,False,False,False,True,False,True,False
sem_preco_venda,1416074723,A VENDA CARIACICA SEDE,https://es.olx.com.br/norte-do-espirito-santo/imoveis/a-venda-cariacica-sede-1416074723,Casas,Venda - casa em rua pública,casa,2026-05-20T14:44:11,2026-07-06T22:32:41,,,,Cariacica,Cariacica Sede,casa,casa_rua_publica,2,1,,5,47,False,False,False,False,False,False,False,False,False,False
preco_suspeito,1514100778,VENDO PORTA DE ALUMINIO,https://es.olx.com.br/norte-do-espirito-santo/imoveis/vendo-porta-de-aluminio-1514100778,Casas,Venda - casa em rua pública,casa,2026-06-29T09:40:08,2026-07-06T22:28:43,2000,5,400.0,Cariacica,Castelo Branco,casa,casa_rua_publica,0,0,0,3,7,False,False,False,False,False,False,True,True,True,True
area_suspeita,1511783008,Vendo está casa,https://es.olx.com.br/norte-do-espirito-santo/imoveis/vendo-esta-casa-1511783008,Casas,Venda - casa em rua pública,casa,2026-06-19T11:11:47,2026-07-06T22:29:20,40000,17780,2.25,Cariacica,Flexal I,casa,casa_rua_publica,1,1,2,7,17,False,False,False,False,False,False,True,False,True,True
area_m2_invalida,1515843296,Vendo casa em vitória bairros ianguetar,https://es.olx.com.br/norte-do-espirito-santo/imoveis/vendo-casa-em-vitoria-bairros-ianguetar-1515843296,Casas,Venda - casa em rua pública,casa,2026-07-06T09:54:07,2026-07-06T22:28:30,85000,0,,Cariacica,Flexal II,casa,casa_rua_publica,2,1,0,2,0,False,False,True,False,False,False,True,False,False,False
sem_preco_venda,1511467024,Vende-se casa em Flexal 2,https://es.olx.com.br/norte-do-espirito-santo/imoveis/vende-se-casa-em-flexal-2-1511467024,Casas,Venda - casa em rua pública,casa,2026-06-18T09:20:31,2026-07-06T22:29:35,,,,Cariacica,Flexal II,casa,casa_rua_publica,2,1,1,11,18,False,False,True,False,False,False,False,False,False,False
