motivo_remocao,id_anuncio,titulo,url,categoria_olx,tipo_detalhado,tipo_url,data_anuncio_olx,data_coleta,preco_venda,area_m2,preco_m2,cidade,bairro,tipo_imovel,subtipo_imovel,quartos,banheiros,vagas,qtd_imagens,idade_anuncio_dias,tem_suite,tem_piscina,tem_varanda,tem_lazer,tem_mobiliado,tem_elevador,area_suspeita,preco_suspeito,preco_m2_suspeito,preco_m2_suspeito_original
preco_m2_suspeito,1513729165,Apartamento em Itaciba..ótima localização,https://es.olx.com.br/norte-do-espirito-santo/imoveis/apartamento-em-itaciba-otima-localizacao-1513729165,Apartamentos,Venda - apartamento cobertura,apartamento,2026-06-27T10:43:31,2026-07-06T22:24:32,100000,160,625.0,Cariacica,Itacibá,apartamento,apartamento_cobertura,2,1,0,14,9,False,False,True,False,False,False,False,False,True,True
preco_m2_suspeito,1432062029,Vendo Prédio residencial com 10 apartamento e 2 pontos comercial !!!,https://es.olx.com.br/norte-do-espirito-santo/imoveis/vendo-predio-residencial-com-10-apartamento-e-2-pontos-comercial-1432062029,Apartamentos,Venda - apartamento padrão,apartamento,2026-07-06T10:42:09,2026-07-06T22:24:32,1500000,1000,1500.0,Cariacica,Itaquari,apartamento,apartamento_padrao,3,2,2,6,0,False,False,True,False,False,False,False,False,True,False
preco_m2_suspeito,1432784467,Vendo apartamento ou troco em caminhão  ou automóvel,https://es.olx.com.br/norte-do-espirito-santo/imoveis/vendo-apartamento-ou-troco-em-caminhao-ou-automovel-1432784467,Apartamentos,Venda - apartamento padrão,apartamento,2026-06-26T10:07:48,2026-07-06T22:24:32,130000,120,1083.33,Cariacica,Jardim de Alah,apartamento,apartamento_padrao,2,1,0,8,10,False,False,False,False,False,False,False,False,True,False
preco_m2_suspeito,1353988068,Imóvel para venda possui 55 metros quadrados com 2 quartos em Padre Gabriel - Cariacica -,https://es.olx.com.br/norte-do-espirito-santo/imoveis/imovel-para-venda-possui-55-metros-quadrados-com-2-quartos-em-padre-gabriel-cariacica-1353988068,Apartamentos,Venda - apartamento padrão,apartamento,2024-11-12T13:20:08,2026-07-06T22:26:06,60000,55,1090.91,Cariacica,Padre Gabriel,apartamento,apartamento_padrao,2,1,1,17,601,False,False,False,True,False,False,False,False,True,False
preco_m2_suspeito,1508897508,Casa 2° andar a venda,https://es.olx.com.br/norte-do-espirito-santo/imoveis/casa-2-andar-a-venda-1508897508,Apartamentos,Venda - apartamento padrão,apartamento,2026-06-08T19:53:07,2026-07-06T22:24:50,250000,169,1479.29,Cariacica,Parque Gramado,apartamento,apartamento_padrao,3,3,0,4,28,False,False,True,False,False,False,False,False,True,False
preco_m2_suspeito,1510261756,"Vendo apartamento no quatro andar, cobertura com ótima localização",https://es.olx.com.br/norte-do-espirito-santo/imoveis/vendo-apartamento-no-quatro-andar-cobertura-com-otima-localizacao-1510261756,Apartamentos,Venda - apartamento cobertura,apartamento,2026-06-13T17:37:17,2026-07-06T22:24:50,150000,100,1500.0,Cariacica,Rio Marinho,apartamento,apartamento_cobertura,1,1,1,9,23,False,False,True,False,False,False,False,False,True,False
preco_m2_suspeito,1513642292,Prédio com 6 apartamentos mais 1 sobrado muito barato,https://es.olx.com.br/norte-do-espirito-santo/imoveis/predio-com-6-apartamentos-mais-1-sobrado-muito-barato-1513642292,Apartamentos,Venda - apartamento padrão,apartamento,2026-06-26T21:30:43,2026-07-06T22:24:32,590000,700,842.86,Cariacica,Rosa da Penha,apartamento,apartamento_padrao,5,5,0,17,10,False,False,False,False,False,False,False,False,True,True
preco_m2_suspeito,1270572965,"Aceita sitio como parte de pagamento. Imóvel para venda tem 200m2 , AP 3 quartos e lazer,",https://es.olx.com.br/norte-do-espirito-santo/imoveis/aceita-sitio-como-parte-de-pagamento-imovel-para-venda-tem-200m2-ap-3-quartos-e-lazer-1270572965,Apartamentos,Venda - apartamento padrão,apartamento,2024-01-15T22:32:14,2026-07-06T22:26:06,350000,300,1166.67,Cariacica,Santana,apartamento,apartamento_padrao,3,3,2,20,902,False,False,False,True,False,False,False,False,True,False
preco_m2_suspeito,1026259190,Predio em faze de acabamentos c/ mão de obra pagas !,https://es.olx.com.br/norte-do-espirito-santo/imoveis/predio-em-faze-de-acabamentos-c-mao-de-obra-pagas-1026259190,Apartamentos,Venda - apartamento padrão,apartamento,2022-04-29T01:57:43,2026-07-06T22:26:06,2650000,60,44166.67,Cariacica,São Conrado,apartamento,apartamento_padrao,2,2,5,20,1529,False,False,False,False,False,False,False,False,True,False
preco_m2_suspeito,1514864413,"APARTAMENTO RESIDENCIAL em CARIACICA - ES, VASCO DA GAMA",https://es.olx.com.br/norte-do-espirito-santo/imoveis/apartamento-residencial-em-cariacica-es-vasco-da-gama-1514864413,Apartamentos,Venda - apartamento padrão,apartamento,2026-07-02T01:02:23,2026-07-06T22:24:32,218500,156,1400.64,Cariacica,Vasco da Gama,apartamento,apartamento_padrao,3,2,1,7,4,False,False,False,False,False,False,False,False,True,False
preco_m2_suspeito,1418152806,Venda casa 2 quartos + lote em Alto Lage,https://es.olx.com.br/norte-do-espirito-santo/imoveis/venda-casa-2-quartos-lote-em-alto-lage-1418152806,Casas,Venda - casa em rua pública,casa,2026-07-06T12:20:44,2026-07-06T22:28:30,180000,270,666.67,Cariacica,Alto Lage,casa,casa_rua_publica,2,1,0,11,0,False,False,False,False,False,False,False,False,True,True
preco_m2_suspeito,1511750225,Vendo casa ! A vista apenas,https://es.olx.com.br/norte-do-espirito-santo/imoveis/vendo-casa-a-vista-apenas-1511750225,Casas,Venda - casa em rua pública,casa,2026-06-19T08:43:18,2026-07-06T22:29:20,199000,350,568.57,Cariacica,Aparecida,casa,casa_rua_publica,3,2,,9,17,False,False,False,False,False,False,False,False,True,True
preco_m2_suspeito,1503266437,Vendo casa no Segundo Andar,https://es.olx.com.br/norte-do-espirito-santo/imoveis/vendo-casa-no-segundo-andar-1503266437,Casas,Venda - casa em rua pública,casa,2026-05-19T07:11:14,2026-07-06T22:33:11,100000,150,666.67,Cariacica,Bela Vista,casa,casa_rua_publica,3,2,0,15,48,False,False,False,False,False,False,False,False,True,True
preco_m2_suspeito,1504847534,Oportunidade casa com terreno,https://es.olx.com.br/norte-do-espirito-santo/imoveis/oportunidade-casa-com-terreno-1504847534,Casas,Venda - casa em rua pública,casa,2026-05-25T12:41:57,2026-07-06T22:32:06,240000,400,600.0,Cariacica,Boa Sorte,casa,casa_rua_publica,2,2,2,8,42,False,False,False,False,False,False,False,False,True,True
preco_m2_suspeito,1500139267,Sim,https://es.olx.com.br/norte-do-espirito-santo/imoveis/sim-1500139267,Casas,Venda - casa em rua pública,casa,2026-05-07T14:47:29,2026-07-06T22:34:15,170000,300,566.67,Cariacica,Campina Grande,casa,casa_rua_publica,4,1,0,6,60,False,False,False,False,False,False,False,False,True,True
preco_m2_suspeito,1510500629,Vendo casa com quintal 60 mil divisa de viana com cariacica,https://es.olx.com.br/norte-do-espirito-santo/imoveis/vendo-casa-com-quintal-60-mil-divisa-de-viana-com-cariacica-1510500629,Casas,Venda - casa em rua pública,casa,2026-06-14T20:47:10,2026-07-06T22:30:03,60000,132,454.55,Cariacica,Campo Grande,casa,casa_rua_publica,2,1,0,3,22,False,False,True,False,False,False,False,False,True,True
preco_m2_suspeito,1502730370,Vendo ou troco casa a reformar,https://es.olx.com.br/norte-do-espirito-santo/imoveis/vendo-ou-troco-casa-a-reformar-1502730370,Casas,Venda - casa em rua pública,casa,2026-05-17T08:52:30,2026-07-06T22:33:26,100000,300,333.33,Cariacica,Campo Verde,casa,casa_rua_publica,3,1,0,4,50,False,False,True,False,False,False,False,False,True,True
preco_m2_suspeito,1476429400,VENDO CASA URGENTE EM CARIACICA SEDE,https://es.olx.com.br/norte-do-espirito-santo/imoveis/vendo-casa-urgente-em-cariacica-sede-1476429400,Casas,Venda - casa em rua pública,casa,2026-06-17T10:54:15,2026-07-06T22:29:35,130000,230,565.22,Cariacica,Cariacica Sede,casa,casa_rua_publica,3,1,2,6,19,False,False,True,False,False,False,False,False,True,True
preco_m2_suspeito,1514732515,VENDO CASA EM CARIACICA SEDE,https://es.olx.com.br/norte-do-espirito-santo/imoveis/vendo-casa-em-cariacica-sede-1514732515,Casas,Venda - casa em rua pública,casa,2026-07-01T16:27:04,2026-07-06T22:28:43,133000,200,665.0,Cariacica,Cariacica Sede,casa,casa_rua_publica,3,1,2,6,5,False,False,True,False,False,False,False,False,True,True
preco_m2_suspeito,1476428331,VENDO CASA EM CARIACICA SEDE,https://es.olx.com.br/norte-do-espirito-santo/imoveis/vendo-casa-em-cariacica-sede-1476428331,Casas,Venda - casa em rua pública,casa,2026-06-17T10:55:01,2026-07-06T22:29:35,135000,200,675.0,Cariacica,Cariacica Sede,casa,casa_rua_publica,3,1,1,5,19,False,False,True,False,False,False,False,False,True,True
