motivo_remocao,id_anuncio,titulo,url,categoria_olx,tipo_detalhado,tipo_url,data_anuncio_olx,data_coleta,preco_venda,area_m2,preco_m2,cidade,bairro,tipo_imovel,subtipo_imovel,quartos,banheiros,vagas,qtd_imagens,idade_anuncio_dias,tem_suite,tem_piscina,tem_varanda,tem_lazer,tem_mobiliado,tem_elevador,area_suspeita,preco_suspeito,preco_m2_suspeito,preco_m2_suspeito_original
preco_m2_suspeito,1514721911,"APARTAMENTO - Apartamento 203, Edifício Lordello Colnago, Avenida Antônio Gil Veloso, nº 2",https://es.olx.com.br/norte-do-espirito-santo/imoveis/apartamento-apartamento-203-edificio-lordello-colnago-avenida-antonio-gil-veloso-n-2-1514721911,Apartamentos,Venda - apartamento padrão,apartamento,2026-07-01T15:54:56,2026-07-05T16:51:53,1200000,10,120000.0,Vila Velha,Itapuã,apartamento,apartamento_padrao,1,1,,1,4,False,False,False,False,False,False,False,False,True,True
preco_m2_suspeito,1514926487,Grand Canal,https://es.olx.com.br/norte-do-espirito-santo/imoveis/grand-canal-1514926487,Apartamentos,Venda - apartamento padrão,apartamento,2026-07-02T08:36:39,2026-07-05T16:51:21,6068332,148,41002.24,Vila Velha,Itapuã,apartamento,apartamento_padrao,4,4,4,20,3,False,True,False,True,False,True,False,False,True,False
preco_m2_suspeito,1515309646,Casa balneário de ponta da fruta,https://es.olx.com.br/norte-do-espirito-santo/imoveis/casa-balneario-de-ponta-da-fruta-1515309646,Casas,Venda - casa em vila,casa,2026-07-03T15:27:50,2026-07-05T16:57:15,230000,340,676.47,Vila Velha,Balneário Ponta da Fruta,casa,casa,1,1,3,6,2,False,True,True,False,False,False,False,False,True,True
preco_m2_suspeito,1512718566,Casa a venda,https://es.olx.com.br/norte-do-espirito-santo/imoveis/casa-a-venda-1512718566,Casas,Venda - casa em rua pública,casa,2026-06-25T22:00:01,2026-07-05T16:58:16,250000,430,581.4,Vila Velha,Cidade da Barra,casa,casa_rua_publica,1,1,2,1,9,False,False,False,False,False,False,False,False,True,True
preco_m2_suspeito,1503682422,Morada da barra troco por carro volto até 15.000$,https://es.olx.com.br/norte-do-espirito-santo/imoveis/morada-da-barra-troco-por-carro-volto-ate-15-000-1503682422,Casas,Venda - casa em rua pública,casa,2026-05-20T14:50:55,2026-07-05T17:00:48,40000,80,500.0,Vila Velha,Glória,casa,casa_rua_publica,2,1,,4,46,False,False,False,False,False,False,False,False,True,True
preco_m2_suspeito,1504571255,Vendo ou alugo casa em Cobi de cima/ VV,https://es.olx.com.br/norte-do-espirito-santo/imoveis/vendo-ou-alugo-casa-em-cobi-de-cima-vv-1504571255,Casas,Venda - casa em rua pública,casa,2026-05-24T08:30:17,2026-07-05T17:00:36,70000,420,166.67,Vila Velha,Glória,casa,casa_rua_publica,2,1,0,10,42,False,False,False,False,False,False,False,False,True,True
preco_m2_suspeito,1507537865,Casa em feu rosa serra vendo aceito caminhão,https://es.olx.com.br/norte-do-espirito-santo/imoveis/casa-em-feu-rosa-serra-vendo-aceito-caminhao-1507537865,Casas,Venda - casa em rua pública,casa,2026-06-03T09:31:40,2026-07-05T17:00:00,130000,380,342.11,Vila Velha,Morada da Barra,casa,casa_rua_publica,2,2,5,13,32,False,False,True,False,False,False,False,False,True,True
preco_m2_suspeito,1419762245,Excelente Oportunidade Casa Morada da Barra! Vila Velha-ES <br><br>Casa Morada da Barra,https://es.olx.com.br/norte-do-espirito-santo/imoveis/excelente-oportunidade-casa-morada-da-barra-vila-velha-es-br-br-casa-morada-da-barra-1419762245,Casas,Venda - casa em rua pública,casa,2026-05-22T09:00:13,2026-07-05T17:00:36,185000,360,513.89,Vila Velha,Morada da Barra,casa,casa_rua_publica,3,3,2,9,44,False,False,False,False,False,False,False,False,True,True
preco_m2_suspeito,1510794187,"Casa , 2 kitnets",https://es.olx.com.br/norte-do-espirito-santo/imoveis/casa-2-kitnets-1510794187,Casas,Venda - casa em rua pública,casa,2026-06-15T22:17:45,2026-07-05T16:59:06,190000,300,633.33,Vila Velha,Morada da Barra,casa,casa_rua_publica,2,2,1,12,19,False,False,True,False,False,False,False,False,True,True
preco_m2_suspeito,1510994248,2 kitnet     por 200.000 as duas,https://es.olx.com.br/norte-do-espirito-santo/imoveis/2-kitnet--por-200-000-as-duas-1510994248,Casas,Venda - casa em rua pública,casa,2026-06-16T15:34:03,2026-07-05T16:58:54,200000,300,666.67,Vila Velha,Morada da Barra,casa,casa_rua_publica,1,1,1,8,19,False,False,False,False,False,False,False,False,True,True
preco_m2_suspeito,1392863787,"Casa à venda, 2 quartos, 1 suíte, 4 vagas, Praia da Costa - Vila Velha/ES",https://es.olx.com.br/norte-do-espirito-santo/imoveis/casa-a-venda-2-quartos-1-suite-4-vagas-praia-da-costa-vila-velha-es-1392863787,Casas,Venda - casa em rua pública,casa,2025-04-05T06:03:55,2026-07-05T17:06:37,3150000,80,39375.0,Vila Velha,Praia da Costa,casa,casa_rua_publica,2,3,4,17,456,True,False,True,False,False,False,False,False,True,False
preco_m2_suspeito,1396290088,"Casa à venda, 3 quartos, 5 vagas, CENTRO - VILA VELHA/ES",https://es.olx.com.br/norte-do-espirito-santo/imoveis/casa-a-venda-3-quartos-5-vagas-centro-vila-velha-es-1396290088,Casas,Venda - casa em rua pública,casa,2025-04-17T04:31:36,2026-07-05T17:06:37,5500000,150,36666.67,Vila Velha,Praia da Costa,casa,casa_rua_publica,3,4,5,20,444,False,False,True,False,False,False,False,False,True,False
preco_m2_suspeito,1506105125,"Vendo / Alugo Casa na Praia da Costa, ótima localização ideal Comércio! codigo: 96599",https://es.olx.com.br/norte-do-espirito-santo/imoveis/vendo-alugo-casa-na-praia-da-costa-otima-localizacao-ideal-comercio-codigo-96599-1506105125,Casas,Venda - casa em rua pública,casa,2026-05-28T16:22:42,2026-07-05T17:00:18,15000000,362,41436.46,Vila Velha,Praia da Costa,casa,casa_rua_publica,5,2,5,20,38,False,False,True,False,False,False,False,False,True,False
preco_m2_suspeito,1507535446,TERRENO LOTE DARLY SANTOS,https://es.olx.com.br/norte-do-espirito-santo/imoveis/terreno-lote-darly-santos-1507535446,Casas,Venda - casa em rua pública,casa,2026-06-03T09:19:13,2026-07-05T17:00:00,150000,240,625.0,Vila Velha,Praia de Itaparica,casa,casa_rua_publica,0,0,0,10,32,False,False,False,False,False,False,False,False,True,True
preco_m2_suspeito,1512662114,Casa.,https://es.olx.com.br/norte-do-espirito-santo/imoveis/casa-1512662114,Casas,Venda - casa em rua pública,casa,2026-06-23T08:21:31,2026-07-05T16:58:28,265000,400,662.5,Vila Velha,Santa Mônica Popular,casa,casa_rua_publica,2,1,2,14,12,False,False,False,False,False,False,False,False,True,True
preco_m2_suspeito,1444050184,"Black Lotes, ponta da fruta, solar de Vênus, parcelo, troco, entrego escriturado leia",https://es.olx.com.br/norte-do-espirito-santo/imoveis/black-lotes-ponta-da-fruta-solar-de-venus-parcelo-troco-entrego-escriturado-leia-1444050184,Casas,Venda - casa em condominio fechado,casa,2026-06-13T06:39:15,2026-07-05T16:59:06,150000,360,416.67,Vila Velha,Solar de Vênus,casa,casa_condominio,0,0,0,4,22,False,False,False,False,False,False,False,False,True,True
preco_m2_suspeito,1471968736,Casa em São Conrado,https://es.olx.com.br/norte-do-espirito-santo/imoveis/casa-em-sao-conrado-1471968736,Casas,Venda - casa em rua pública,casa,2026-01-24T11:49:27,2026-07-05T17:03:12,715000,10,71500.0,Vila Velha,São Conrado,casa,casa_rua_publica,2,2,2,15,162,False,False,False,False,False,False,False,False,True,True
preco_m2_suspeito,1502480105,Vendo ou troco casa,https://es.olx.com.br/norte-do-espirito-santo/imoveis/vendo-ou-troco-casa-1502480105,Casas,Venda - casa em rua pública,casa,2026-05-16T00:14:39,2026-07-05T17:01:00,50000,180,277.78,Vila Velha,Vale Encantado,casa,casa_rua_publica,2,1,,11,50,False,False,False,False,False,False,False,False,True,True
preco_m2_suspeito,1510940191,SS vendo casa em Maruípe,https://es.olx.com.br/norte-do-espirito-santo/imoveis/ss-vendo-casa-em-maruipe-1510940191,Apartamentos,Venda - apartamento padrão,apartamento,2026-06-16T12:14:23,2026-07-05T16:32:46,220000,180,1222.22,Vitória,Maruípe,apartamento,apartamento_padrao,2,1,1,8,19,False,False,False,False,False,False,False,False,True,False
preco_m2_suspeito,1510349109,"Prédio residencial com 3 apartamentos e 2 lojas à venda, 445 m² por R$ 650.000 - Vila Rubi",https://es.olx.com.br/norte-do-espirito-santo/imoveis/predio-residencial-com-3-apartamentos-e-2-lojas-a-venda-445-m-por-r-650-000-vila-rubi-1510349109,Apartamentos,Venda - apartamento padrão,apartamento,2026-06-14T02:14:16,2026-07-05T16:33:04,650000,445,1460.67,Vitória,Vila Rubim,apartamento,apartamento_padrao,3,2,0,16,21,False,False,False,False,False,False,False,False,True,False
preco_m2_suspeito,1514221785,VENDO CASA COM TERRENO,https://es.olx.com.br/norte-do-espirito-santo/imoveis/vendo-casa-com-terreno-1514221785,Casas,Venda - casa em rua pública,casa,2026-06-29T20:50:23,2026-07-05T16:35:43,250000,732,341.53,Vitória,Centro,casa,casa_rua_publica,4,1,5,8,5,False,False,False,False,False,False,False,False,True,True
preco_m2_suspeito,1485662828,Vendo casa em Cruzamento,https://es.olx.com.br/norte-do-espirito-santo/imoveis/vendo-casa-em-cruzamento-1485662828,Casas,Venda - casa em rua pública,casa,2026-06-08T10:39:22,2026-07-05T16:37:01,160000,250,640.0,Vitória,Cruzamento,casa,casa_rua_publica,3,2,1,5,27,False,False,False,False,False,False,False,False,True,True
preco_m2_suspeito,1511565527,Casa a venda,https://es.olx.com.br/norte-do-espirito-santo/imoveis/casa-a-venda-1511565527,Casas,Venda - casa em rua pública,casa,2026-06-18T15:10:18,2026-07-05T16:36:12,80000,137,583.94,Vitória,Forte São João,casa,casa_rua_publica,2,1,0,11,17,False,False,True,False,False,False,False,False,True,True
