motivo_remocao,id_anuncio,titulo,url,categoria_olx,tipo_detalhado,tipo_url,data_anuncio_olx,data_coleta,preco_venda,area_m2,preco_m2,cidade,bairro,tipo_imovel,subtipo_imovel,quartos,banheiros,vagas,qtd_imagens,idade_anuncio_dias,tem_suite,tem_piscina,tem_varanda,tem_lazer,tem_mobiliado,tem_elevador,area_suspeita,preco_suspeito,preco_m2_suspeito,preco_m2_suspeito_original
sem_area_m2,1515504110,Vendo casa em Cariacica Sede,https://es.olx.com.br/norte-do-espirito-santo/imoveis/vendo-casa-em-cariacica-sede-1515504110,Casas,Venda - casa em rua pública,casa,2026-07-04T09:52:00,2026-07-05T16:44:09,160000,,,Cariacica,Alice Coutinho,casa,casa_rua_publica,2,1,,5,1,False,False,False,False,False,False,False,False,False,False
sem_area_m2,1464463928,"Casa ampla em Santa Bárbara, Cariacica",https://es.olx.com.br/norte-do-espirito-santo/imoveis/casa-ampla-em-santa-barbara-cariacica-1464463928,Casas,Venda - casa em rua pública,casa,2026-07-04T07:57:36,2026-07-05T16:44:24,700000,,,Cariacica,Campo Grande,casa,casa_rua_publica,3,3,,15,1,False,False,True,False,False,False,False,False,False,False
sem_area_m2,1464462015,"Casas em Santo André, Cariacica",https://es.olx.com.br/norte-do-espirito-santo/imoveis/casas-em-santo-andre-cariacica-1464462015,Casas,Venda - casa em rua pública,casa,2026-07-04T07:57:56,2026-07-05T16:44:09,720000,,,Cariacica,Campo Grande,casa,casa_rua_publica,4,3,2,17,1,False,False,True,False,False,False,False,False,False,False
sem_area_m2,1498557058,"Casa duplex ampla 3 quartos com suíte e piscina em Vila Capixaba, Cariacica",https://es.olx.com.br/norte-do-espirito-santo/imoveis/casa-duplex-ampla-3-quartos-com-suite-e-piscina-em-vila-capixaba-cariacica-1498557058,Casas,Venda - casa em rua pública,casa,2026-07-04T07:57:07,2026-07-05T16:44:24,970000,,,Cariacica,Campo Grande,casa,casa_rua_publica,3,3,3,17,1,True,True,True,False,False,False,False,False,False,False
sem_area_m2,1515591636,Vendo 2 casas primeiro e segundo andar,https://es.olx.com.br/norte-do-espirito-santo/imoveis/vendo-2-casas-primeiro-e-segundo-andar-1515591636,Casas,Venda - casa em rua pública,casa,2026-07-04T16:56:29,2026-07-05T16:43:01,170000,,,Cariacica,Jardim Botânico,casa,casa_rua_publica,2,2,,1,0,False,False,False,False,False,False,False,False,False,False
sem_area_m2,1515714842,Vende se ou troco casa,https://es.olx.com.br/norte-do-espirito-santo/imoveis/vende-se-ou-troco-casa-1515714842,Casas,Venda - casa em rua pública,casa,2026-07-05T13:00:47,2026-07-05T16:41:23,400000,,,Cariacica,Santana,casa,casa_rua_publica,3,1,0,1,0,False,False,True,False,False,False,False,False,False,False
sem_area_m2,1515552945,Vendo casa em Praia Grande / Fundão,https://es.olx.com.br/norte-do-espirito-santo/imoveis/vendo-casa-em-praia-grande-fundao-1515552945,Casas,Venda - casa em rua pública,casa,2026-07-04T13:32:42,2026-07-05T16:43:18,300000,,,Fundão,,casa,casa_rua_publica,2,2,,9,1,False,False,True,False,False,False,False,False,False,False
sem_area_m2,1509946841,Casa lote condados meaip guarapari,https://es.olx.com.br/norte-do-espirito-santo/imoveis/casa-lote-condados-meaip-guarapari-1509946841,Casas,Venda - casa em rua pública,casa,2026-07-04T14:34:47,2026-07-05T16:43:18,110000,,,Guarapari,Condados,casa,casa_rua_publica,1,1,,14,1,False,False,False,False,False,False,False,False,False,False
sem_area_m2,1515378208,Casa duplex a venda,https://es.olx.com.br/norte-do-espirito-santo/imoveis/casa-duplex-a-venda-1515378208,Casas,Venda - casa em rua pública,casa,2026-07-03T17:53:57,2026-07-05T16:45:08,250000,,,Guarapari,Ipiranga,casa,casa_rua_publica,3,2,2,2,1,False,False,True,False,False,False,False,False,False,False
sem_area_m2,1499271003,Vendo 2 casas,https://es.olx.com.br/norte-do-espirito-santo/imoveis/vendo-2-casas-1499271003,Casas,Venda - casa em rua pública,casa,2026-07-04T01:38:29,2026-07-05T16:44:39,520000,,,Serra,Cidade Continental,casa,casa_rua_publica,4,4,2,4,1,False,False,True,False,False,False,False,False,False,False
