preco_venda,tipo_imovel,subtipo_imovel,cidade,bairro,area_m2,quartos,banheiros,vagas,qtd_imagens,idade_anuncio_dias,tem_suite,tem_piscina,tem_varanda,tem_lazer,tem_mobiliado,tem_elevador
300000,apartamento,apartamento_padrao,Vila Velha,Alvorada,53,2.0,1.0,1.0,18,5,False,True,False,True,False,False
210000,apartamento,apartamento_padrao,Vila Velha,Araçás,42,2.0,1.0,1.0,9,3,False,False,False,False,False,False
794350,apartamento,apartamento_padrao,Vila Velha,Araçás,58,2.0,1.0,1.0,7,3,False,True,True,True,False,False
319900,apartamento,apartamento_padrao,Vila Velha,Aribiri,57,2.0,1.0,1.0,20,7,False,True,False,True,False,True
348000,apartamento,apartamento_padrao,Vila Velha,Aribiri,47,2.0,1.0,0.0,13,1,False,True,True,True,False,True
350000,apartamento,apartamento_padrao,Vila Velha,Aribiri,51,2.0,1.0,1.0,20,1,False,True,False,True,False,True
350000,apartamento,apartamento_padrao,Vila Velha,Aribiri,51,2.0,1.0,1.0,20,8,False,False,False,False,False,False
350000,apartamento,apartamento_padrao,Vila Velha,Aribiri,51,2.0,1.0,1.0,20,9,False,False,False,False,False,False
369900,apartamento,apartamento_padrao,Vila Velha,Aribiri,47,2.0,1.0,1.0,20,10,False,True,False,True,False,True
376000,apartamento,apartamento_padrao,Vila Velha,Aribiri,47,2.0,1.0,1.0,13,1,False,True,True,True,False,True
420016,apartamento,apartamento_padrao,Vila Velha,Aribiri,55,2.0,1.0,1.0,4,4,False,False,False,False,False,False
420160,apartamento,apartamento_padrao,Vila Velha,Aribiri,55,2.0,1.0,1.0,12,2,False,False,False,False,False,False
422118,apartamento,apartamento_padrao,Vila Velha,Aribiri,55,2.0,1.0,2.0,3,3,False,True,True,False,False,False
750000,apartamento,apartamento_padrao,Vila Velha,Aribiri,59,2.0,2.0,1.0,4,11,False,True,True,True,False,True
190000,apartamento,apartamento_padrao,Vila Velha,Ataíde,48,2.0,1.0,1.0,18,9,False,False,False,False,False,False
290000,apartamento,apartamento_padrao,Vila Velha,Ataíde,45,2.0,1.0,1.0,20,1,False,True,True,True,False,True
290000,apartamento,apartamento_padrao,Vila Velha,Ataíde,44,2.0,1.0,1.0,18,2,False,True,True,True,False,True
290000,apartamento,apartamento_padrao,Vila Velha,Ataíde,45,2.0,1.0,1.0,8,3,False,True,False,True,False,True
299000,apartamento,apartamento_padrao,Vila Velha,Ataíde,45,2.0,1.0,1.0,7,8,False,True,True,False,False,False
315000,apartamento,apartamento_padrao,Vila Velha,Ataíde,46,2.0,1.0,1.0,12,2,False,True,False,True,False,True
318000,apartamento,apartamento_padrao,Vila Velha,Ataíde,44,2.0,1.0,1.0,20,4,False,True,True,True,False,True
320000,apartamento,apartamento_padrao,Vila Velha,Ataíde,45,2.0,1.0,1.0,12,9,False,True,False,True,False,True
345000,apartamento,apartamento_padrao,Vila Velha,Ataíde,47,2.0,1.0,1.0,12,0,False,True,False,True,False,True
350000,apartamento,apartamento_padrao,Vila Velha,Ataíde,45,2.0,2.0,1.0,20,1,False,False,False,False,False,False
350000,apartamento,apartamento_padrao,Vila Velha,Ataíde,55,2.0,1.0,1.0,20,3,False,True,False,False,False,False
350000,apartamento,apartamento_padrao,Vila Velha,Ataíde,54,1.0,1.0,1.0,20,4,False,True,True,True,False,True
350000,apartamento,apartamento_padrao,Vila Velha,Ataíde,51,2.0,1.0,1.0,19,5,False,False,False,False,False,False
350000,apartamento,apartamento_padrao,Vila Velha,Ataíde,55,2.0,1.0,1.0,13,6,False,True,True,True,True,True
350000,apartamento,apartamento_padrao,Vila Velha,Ataíde,45,2.0,1.0,1.0,9,9,False,True,False,True,False,True
350000,apartamento,apartamento_padrao,Vila Velha,Ataíde,51,2.0,1.0,1.0,20,9,False,True,True,True,False,True
360000,apartamento,apartamento_padrao,Vila Velha,Ataíde,52,2.0,1.0,1.0,10,9,False,True,True,True,False,False
370000,apartamento,apartamento_padrao,Vila Velha,Ataíde,55,2.0,1.0,1.0,17,9,False,True,True,True,False,True
370000,apartamento,apartamento_padrao,Vila Velha,Ataíde,55,2.0,1.0,1.0,12,10,False,True,False,True,False,False
380000,apartamento,apartamento_padrao,Vila Velha,Ataíde,43,2.0,1.0,1.0,14,1,False,True,True,True,False,True
390000,apartamento,apartamento_padrao,Vila Velha,Ataíde,55,2.0,1.0,1.0,9,1,False,True,False,True,False,True
390000,apartamento,apartamento_padrao,Vila Velha,Ataíde,44,2.0,1.0,1.0,20,4,False,True,True,False,False,True
