id_anuncio,titulo,url,categoria_olx,tipo_detalhado,tipo_url,data_anuncio_olx,data_coleta,preco_venda,area_m2,preco_m2,cidade,bairro,tipo_imovel,subtipo_imovel,quartos,banheiros,vagas,qtd_imagens,idade_anuncio_dias,preco_m2_suspeito,preco_m2_suspeito_original,area_suspeita,preco_suspeito
1465635042,LINDAS CASAS BELA VISTA ARACRUZ,https://es.olx.com.br/norte-do-espirito-santo/imoveis/lindas-casas-bela-vista-aracruz-1465635042,Casas,Venda - casa em rua pública,casa,2026-07-03T19:50:13,2026-07-05T16:44:52,415000,46,9021.74,Aracruz,Bela Vista,casa,casa_rua_publica,2,1,1,2,1,False,False,False,False
1364918833,CASA EM PEDRA AZUL,https://es.olx.com.br/norte-do-espirito-santo/imoveis/casa-em-pedra-azul-1364918833,Casas,Venda - casa em rua pública,casa,2026-07-05T03:10:22,2026-07-05T16:42:25,2500000,639,3912.36,Aracê,Pedra Azul de Aracê,casa,casa_rua_publica,5,5,5,20,0,False,False,False,False
1515504110,Vendo casa em Cariacica Sede,https://es.olx.com.br/norte-do-espirito-santo/imoveis/vendo-casa-em-cariacica-sede-1515504110,Casas,Venda - casa em rua pública,casa,2026-07-04T09:52:00,2026-07-05T16:44:09,160000,,,Cariacica,Alice Coutinho,casa,casa_rua_publica,2,1,,5,1,False,False,False,False
1515382254,Casa grande com 2 garagem,https://es.olx.com.br/norte-do-espirito-santo/imoveis/casa-grande-com-2-garagem-1515382254,Casas,Venda - casa em rua pública,casa,2026-07-03T18:14:18,2026-07-05T16:45:08,250000,200,1250.0,Cariacica,Alice Coutinho,casa,casa_rua_publica,2,2,2,1,1,False,False,False,False
1509193266,"Casarão com piscina, churrasqueira e 4 quartos",https://es.olx.com.br/norte-do-espirito-santo/imoveis/casarao-com-piscina-churrasqueira-e-4-quartos-1509193266,Casas,Venda - casa em rua pública,casa,2026-07-05T14:25:45,2026-07-05T16:41:23,1199000,440,2725.0,Cariacica,Alto Lage,casa,casa_rua_publica,4,3,4,14,0,False,False,False,False
1515399828,Terraço do terceiro andar entrada independente de esquina rua asfaltada,https://es.olx.com.br/norte-do-espirito-santo/imoveis/terraco-do-terceiro-andar-entrada-independente-de-esquina-rua-asfaltada-1515399828,Casas,Venda - casa em rua pública,casa,2026-07-03T19:41:48,2026-07-05T16:45:08,35000,0,,Cariacica,Aparecida,casa,casa_rua_publica,2,1,0,2,1,False,False,True,True
1515552262,Casa à Venda em Bela Aurora  Cariacica/ES | 2 Moradias + Área de Lazer Completa  300m² de,https://es.olx.com.br/norte-do-espirito-santo/imoveis/casa-a-venda-em-bela-aurora-cariacica-es-2-moradias-area-de-lazer-completa-300m-de-1515552262,Casas,Venda - casa em rua pública,casa,2026-07-04T13:30:38,2026-07-05T16:43:37,1300000,220,5909.09,Cariacica,Bela Aurora,casa,casa_rua_publica,5,4,2,20,1,False,False,False,False
1515486094,"Casa térrea privativa com 2 quartos em Campina Grande, Cariacica",https://es.olx.com.br/norte-do-espirito-santo/imoveis/casa-terrea-privativa-com-2-quartos-em-campina-grande-cariacica-1515486094,Casas,Venda - casa em rua pública,casa,2026-07-04T07:56:21,2026-07-05T16:44:24,315000,66,4772.73,Cariacica,Campina Grande,casa,casa_rua_publica,2,1,1,4,1,False,False,False,False
1497022184,Casa ampla em Cariacica sede,https://es.olx.com.br/norte-do-espirito-santo/imoveis/casa-ampla-em-cariacica-sede-1497022184,Casas,Venda - casa em rua pública,casa,2026-07-04T07:58:23,2026-07-05T16:44:09,650000,100,6500.0,Cariacica,Campo Grande,casa,casa_rua_publica,2,1,3,11,1,False,False,False,False
1464463928,"Casa ampla em Santa Bárbara, Cariacica",https://es.olx.com.br/norte-do-espirito-santo/imoveis/casa-ampla-em-santa-barbara-cariacica-1464463928,Casas,Venda - casa em rua pública,casa,2026-07-04T07:57:36,2026-07-05T16:44:24,700000,,,Cariacica,Campo Grande,casa,casa_rua_publica,3,3,,15,1,False,False,False,False
1464462015,"Casas em Santo André, Cariacica",https://es.olx.com.br/norte-do-espirito-santo/imoveis/casas-em-santo-andre-cariacica-1464462015,Casas,Venda - casa em rua pública,casa,2026-07-04T07:57:56,2026-07-05T16:44:09,720000,,,Cariacica,Campo Grande,casa,casa_rua_publica,4,3,2,17,1,False,False,False,False
1465136938,"Lindo Triplex em Vera Cruz, Cariacica",https://es.olx.com.br/norte-do-espirito-santo/imoveis/lindo-triplex-em-vera-cruz-cariacica-1465136938,Casas,Venda - casa em rua pública,casa,2026-07-04T07:58:04,2026-07-05T16:44:09,850000,206,4126.21,Cariacica,Campo Grande,casa,casa_rua_publica,3,3,2,19,1,False,False,False,False
