preco_venda,tipo_imovel,subtipo_imovel,cidade,bairro,area_m2,quartos,banheiros,vagas,anunciante_profissional,qtd_imagens,tem_suite,tem_piscina,tem_varanda,tem_gourmet,tem_lazer,tem_mobiliado,tem_porteira_fechada,tem_elevador,tem_cobertura,tem_garden,tem_sol_manha,tem_frente_mar,area_suspeita,preco_suspeito,idade_anuncio_dias,preco_m2,preco_m2_suspeito
210000,apartamento,apartamento_padrao,Vila Velha,Araçás,42,2,1,1,False,9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,5000.0,False
794350,apartamento,apartamento_padrao,Vila Velha,Araçás,58,2,1,1,True,7,False,True,True,False,True,False,False,False,False,False,False,False,False,False,2,13695.69,False
348000,apartamento,apartamento_padrao,Vila Velha,Aribiri,47,2,1,0,True,13,False,True,True,False,True,False,False,True,False,False,False,False,False,False,0,7404.26,False
350000,apartamento,apartamento_padrao,Vila Velha,Aribiri,51,2,1,1,True,20,False,True,False,False,True,False,False,True,False,False,False,False,False,False,0,6862.75,False
376000,apartamento,apartamento_padrao,Vila Velha,Aribiri,47,2,1,1,True,12,False,True,True,False,True,False,False,True,False,False,False,False,False,False,0,8000.0,False
420016,apartamento,apartamento_padrao,Vila Velha,Aribiri,55,2,1,1,True,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3,7636.65,False
420160,apartamento,apartamento_padrao,Vila Velha,Aribiri,55,2,1,1,True,12,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,7639.27,False
422118,apartamento,apartamento_padrao,Vila Velha,Aribiri,55,2,1,2,True,3,False,True,True,False,False,False,False,False,False,False,False,False,False,False,2,7674.87,False
290000,apartamento,apartamento_padrao,Vila Velha,Ataíde,45,2,1,1,True,20,False,True,True,False,True,False,False,True,False,False,False,False,False,False,0,6444.44,False
290000,apartamento,apartamento_padrao,Vila Velha,Ataíde,44,2,1,1,True,18,False,True,True,False,True,False,False,True,False,False,False,False,False,False,1,6590.91,False
290000,apartamento,apartamento_padrao,Vila Velha,Ataíde,45,2,1,1,True,8,False,True,False,False,True,False,False,True,False,False,False,False,False,False,1,6444.44,False
315000,apartamento,apartamento_padrao,Vila Velha,Ataíde,46,2,1,1,False,12,False,True,False,False,True,False,False,True,False,False,False,False,False,False,1,6847.83,False
318000,apartamento,apartamento_padrao,Vila Velha,Ataíde,44,2,1,1,True,20,False,True,True,False,True,False,False,True,False,False,False,False,False,False,2,7227.27,False
350000,apartamento,apartamento_padrao,Vila Velha,Ataíde,55,2,1,1,True,20,False,True,False,False,False,False,False,False,False,False,False,False,False,False,2,6363.64,False
350000,apartamento,apartamento_padrao,Vila Velha,Ataíde,54,1,1,1,True,20,False,True,True,False,True,False,False,True,False,False,False,False,False,False,2,6481.48,False
390000,apartamento,apartamento_padrao,Vila Velha,Ataíde,55,2,1,1,True,9,False,True,False,False,True,False,False,True,False,False,False,False,False,False,0,7090.91,False
390000,apartamento,apartamento_padrao,Vila Velha,Ataíde,44,2,1,1,True,20,False,True,True,False,False,False,False,True,False,False,False,False,False,False,2,8863.64,False
395000,apartamento,apartamento_padrao,Vila Velha,Ataíde,75,2,1,1,False,12,False,True,False,False,True,False,False,True,False,True,False,False,False,False,2,5266.67,False
400000,apartamento,apartamento_padrao,Vila Velha,Ataíde,75,2,1,1,True,13,False,False,True,False,True,False,False,True,False,False,False,False,False,False,0,5333.33,False
600000,apartamento,apartamento_padrao,Vila Velha,Balneário Ponta da Fruta,244,5,1,5,True,19,False,False,True,False,False,False,False,False,False,False,False,False,False,False,1,2459.02,False
450000,apartamento,apartamento_padrao,Vila Velha,Barra do Jucu,73,3,2,1,False,7,False,False,False,False,True,True,True,False,False,False,False,False,False,False,0,6164.38,False
230000,apartamento,apartamento_padrao,Vila Velha,Boa Vista II,46,2,1,1,True,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,5000.0,False
1600000,apartamento,apartamento_padrao,Vila Velha,Brisamar,430,5,5,4,True,18,False,False,True,False,False,False,False,False,False,False,False,False,False,False,3,3720.93,False
