preco_venda,tipo_imovel,cidade,bairro,area_m2,quartos,banheiros,vagas,qtd_imagens,idade_anuncio_dias,tem_suite,tem_piscina,tem_varanda,tem_lazer,tem_mobiliado,tem_elevador
300000,apartamento,Vila Velha,Alvorada,53,2,1,1,18,5,False,True,False,True,False,False
210000,apartamento,Vila Velha,Araçás,42,2,1,1,9,3,False,False,False,False,False,False
794350,apartamento,Vila Velha,Araçás,58,2,1,1,7,3,False,True,True,True,False,False
319900,apartamento,Vila Velha,Aribiri,57,2,1,1,20,7,False,True,False,True,False,True
348000,apartamento,Vila Velha,Aribiri,47,2,1,0,13,1,False,True,True,True,False,True
350000,apartamento,Vila Velha,Aribiri,51,2,1,1,20,1,False,True,False,True,False,True
350000,apartamento,Vila Velha,Aribiri,51,2,1,1,20,8,False,False,False,False,False,False
350000,apartamento,Vila Velha,Aribiri,51,2,1,1,20,9,False,False,False,False,False,False
369900,apartamento,Vila Velha,Aribiri,47,2,1,1,20,10,False,True,False,True,False,True
376000,apartamento,Vila Velha,Aribiri,47,2,1,1,13,1,False,True,True,True,False,True
420016,apartamento,Vila Velha,Aribiri,55,2,1,1,4,4,False,False,False,False,False,False
420160,apartamento,Vila Velha,Aribiri,55,2,1,1,12,2,False,False,False,False,False,False
422118,apartamento,Vila Velha,Aribiri,55,2,1,2,3,3,False,True,True,False,False,False
750000,apartamento,Vila Velha,Aribiri,59,2,2,1,4,11,False,True,True,True,False,True
190000,apartamento,Vila Velha,Ataíde,48,2,1,1,18,9,False,False,False,False,False,False
290000,apartamento,Vila Velha,Ataíde,45,2,1,1,20,1,False,True,True,True,False,True
290000,apartamento,Vila Velha,Ataíde,44,2,1,1,18,2,False,True,True,True,False,True
290000,apartamento,Vila Velha,Ataíde,45,2,1,1,8,3,False,True,False,True,False,True
299000,apartamento,Vila Velha,Ataíde,45,2,1,1,7,8,False,True,True,False,False,False
315000,apartamento,Vila Velha,Ataíde,46,2,1,1,12,2,False,True,False,True,False,True
318000,apartamento,Vila Velha,Ataíde,44,2,1,1,20,4,False,True,True,True,False,True
320000,apartamento,Vila Velha,Ataíde,45,2,1,1,12,9,False,True,False,True,False,True
345000,apartamento,Vila Velha,Ataíde,47,2,1,1,12,0,False,True,False,True,False,True
350000,apartamento,Vila Velha,Ataíde,45,2,2,1,20,1,False,False,False,False,False,False
350000,apartamento,Vila Velha,Ataíde,55,2,1,1,20,3,False,True,False,False,False,False
350000,apartamento,Vila Velha,Ataíde,54,1,1,1,20,4,False,True,True,True,False,True
350000,apartamento,Vila Velha,Ataíde,51,2,1,1,19,5,False,False,False,False,False,False
350000,apartamento,Vila Velha,Ataíde,55,2,1,1,13,6,False,True,True,True,True,True
350000,apartamento,Vila Velha,Ataíde,45,2,1,1,9,9,False,True,False,True,False,True
350000,apartamento,Vila Velha,Ataíde,51,2,1,1,20,9,False,True,True,True,False,True
360000,apartamento,Vila Velha,Ataíde,52,2,1,1,10,9,False,True,True,True,False,False
370000,apartamento,Vila Velha,Ataíde,55,2,1,1,17,9,False,True,True,True,False,True
370000,apartamento,Vila Velha,Ataíde,55,2,1,1,12,10,False,True,False,True,False,False
380000,apartamento,Vila Velha,Ataíde,43,2,1,1,14,1,False,True,True,True,False,True
390000,apartamento,Vila Velha,Ataíde,55,2,1,1,9,1,False,True,False,True,False,True
