preco_venda,tipo_imovel,subtipo_imovel,cidade,bairro,area_m2,quartos,banheiros,vagas,anunciante_profissional,qtd_imagens,tem_suite,tem_piscina,tem_varanda,tem_gourmet,tem_lazer,tem_mobiliado,tem_porteira_fechada,tem_elevador,tem_cobertura,tem_garden,tem_sol_manha,tem_frente_mar,area_suspeita,preco_suspeito,idade_anuncio_dias,preco_m2,preco_m2_suspeito
109990,apartamento,loft_studio,Cariacica,Alto Lage,16,1,1,1,False,13,True,False,False,False,True,False,False,True,False,False,False,False,False,False,58,6874.38,False
265000,apartamento,apartamento_padrao,Cariacica,Alto Lage,46,2,1,1,False,11,False,True,False,False,True,False,False,True,False,False,False,False,False,False,20,5760.87,False
480000,apartamento,apartamento_padrao,Cariacica,Alto Lage,160,3,2,1,True,7,True,False,False,False,False,False,False,False,False,False,False,False,False,False,595,3000.0,False
480000,apartamento,apartamento_padrao,Cariacica,Alto Lage,166,3,2,1,True,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,595,2891.57,False
480000,apartamento,apartamento_padrao,Cariacica,Alto Lage,160,3,2,1,True,7,True,False,False,False,False,False,False,False,False,False,False,False,False,False,595,3000.0,False
480000,apartamento,apartamento_padrao,Cariacica,Alto Lage,166,3,2,1,True,6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,595,2891.57,False
800000,apartamento,apartamento_padrao,Cariacica,Alto Lage,360,2,1,5,True,20,False,False,False,False,False,False,False,False,False,False,False,False,False,False,55,2222.22,False
223000,apartamento,apartamento_padrao,Cariacica,Alzira Ramos,41,2,1,1,True,13,False,False,False,False,False,False,False,False,False,False,False,False,False,False,145,5439.02,False
370000,apartamento,apartamento_padrao,Cariacica,Bandeirantes,56,2,1,2,True,17,False,False,False,False,False,False,False,False,False,False,False,False,False,False,76,6607.14,False
370000,apartamento,apartamento_padrao,Cariacica,Bandeirantes,56,2,1,2,True,17,False,False,False,False,False,False,False,False,False,False,False,False,False,False,76,6607.14,False
290000,apartamento,apartamento_padrao,Cariacica,Bela Aurora,110,2,1,,True,14,False,False,False,False,False,False,False,False,False,False,False,False,False,False,830,2636.36,False
350000,apartamento,apartamento_padrao,Cariacica,Bela Aurora,110,3,2,,True,11,True,False,False,False,False,False,False,False,False,False,False,False,False,False,843,3181.82,False
360000,apartamento,apartamento_padrao,Cariacica,Bela Aurora,100,3,2,0,False,14,False,False,True,False,False,False,False,False,False,False,False,False,False,False,60,3600.0,False
499999,apartamento,apartamento_padrao,Cariacica,Bela Aurora,206,3,2,0,True,20,False,False,True,False,False,False,False,False,False,False,False,False,False,False,216,2427.18,False
164800,apartamento,apartamento_padrao,Cariacica,Campina Grande,39,1,1,1,True,18,False,True,False,False,True,False,False,False,False,False,False,False,False,False,416,4225.64,False
195000,apartamento,apartamento_padrao,Cariacica,Campina Grande,70,2,1,1,True,12,False,False,True,False,False,False,False,False,False,False,False,False,False,False,635,2785.71,False
210000,apartamento,apartamento_padrao,Cariacica,Campina Grande,45,2,1,1,True,14,False,True,False,False,True,False,False,False,False,False,False,False,False,False,72,4666.67,False
230000,apartamento,apartamento_padrao,Cariacica,Campina Grande,45,2,1,1,True,14,False,False,False,False,False,False,False,False,False,False,False,False,False,False,23,5111.11,False
245000,apartamento,apartamento_padrao,Cariacica,Campina Grande,44,2,1,1,False,5,False,True,False,False,True,False,False,False,False,False,False,False,False,False,44,5568.18,False
250000,apartamento,apartamento_padrao,Cariacica,Campina Grande,44,2,1,1,True,10,False,False,False,False,True,False,False,False,False,False,True,False,False,False,188,5681.82,False
260000,apartamento,apartamento_padrao,Cariacica,Campina Grande,42,2,1,1,True,19,False,True,False,False,True,False,False,False,False,False,False,False,False,False,40,6190.48,False
160000,apartamento,apartamento_padrao,Cariacica,Campo Grande,50,2,1,1,True,15,False,False,False,False,False,False,False,False,False,False,False,False,False,False,53,3200.0,False
200000,apartamento,apartamento_padrao,Cariacica,Campo Grande,53,2,1,1,True,8,False,False,True,False,False,False,False,False,False,False,False,False,False,False,12,3773.58,False
210000,apartamento,apartamento_padrao,Cariacica,Campo Grande,42,2,1,1,True,5,False,True,False,False,True,False,False,False,False,False,False,False,False,False,14,5000.0,False
249000,apartamento,apartamento_padrao,Cariacica,Campo Grande,90,2,1,0,True,11,False,False,False,False,False,False,False,False,False,False,False,False,False,False,47,2766.67,False
250000,apartamento,apartamento_padrao,Cariacica,Campo Grande,64,2,1,,True,9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,130,3906.25,False
265000,apartamento,apartamento_padrao,Cariacica,Campo Grande,85,2,1,0,True,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,201,3117.65,False
300000,apartamento,apartamento_padrao,Cariacica,Campo Grande,76,2,2,0,True,17,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,3947.37,False
305000,apartamento,apartamento_padrao,Cariacica,Campo Grande,46,2,1,1,True,12,False,True,False,False,False,False,False,True,False,False,False,False,False,False,47,6630.43,False
310000,apartamento,apartamento_padrao,Cariacica,Campo Grande,46,2,1,1,True,11,False,True,False,False,True,False,False,False,False,False,False,False,False,False,25,6739.13,False
355000,apartamento,apartamento_padrao,Cariacica,Campo Grande,63,3,2,1,True,11,False,False,True,False,True,True,False,False,False,False,False,False,False,False,49,5634.92,False
410000,apartamento,apartamento_padrao,Cariacica,Campo Grande,101,2,2,,False,12,False,False,True,False,False,False,False,False,False,False,False,False,False,False,5,4059.41,False
420000,apartamento,apartamento_padrao,Cariacica,Campo Grande,76,2,1,1,True,12,False,False,False,False,False,False,False,False,False,False,False,False,False,False,32,5526.32,False
420000,apartamento,apartamento_padrao,Cariacica,Campo Grande,76,2,1,1,True,12,False,False,False,False,False,False,False,False,False,False,False,False,False,False,32,5526.32,False
450000,apartamento,apartamento_padrao,Cariacica,Campo Grande,202,2,3,1,False,20,False,False,True,False,False,False,False,False,False,False,False,False,False,False,19,2227.72,False
450000,apartamento,apartamento_padrao,Cariacica,Campo Grande,195,4,3,1,True,13,False,False,False,False,False,False,False,False,False,False,False,False,False,False,83,2307.69,False
460000,apartamento,apartamento_padrao,Cariacica,Campo Grande,120,2,2,1,True,20,False,False,False,False,False,False,False,False,False,False,False,False,False,False,124,3833.33,False
550000,apartamento,apartamento_padrao,Cariacica,Campo Grande,104,3,1,1,True,17,False,False,False,False,False,False,False,False,False,False,False,False,False,False,90,5288.46,False
580000,apartamento,apartamento_padrao,Cariacica,Campo Grande,62,2,2,1,True,11,False,True,False,False,True,False,False,True,False,False,False,False,False,False,25,9354.84,False
580000,apartamento,apartamento_padrao,Cariacica,Campo Grande,62,2,2,1,True,20,False,True,False,False,True,True,False,True,False,False,False,False,False,False,150,9354.84,False
600000,apartamento,apartamento_padrao,Cariacica,Campo Grande,130,3,2,1,True,20,True,False,False,False,False,True,False,False,False,False,False,False,False,False,35,4615.38,False
600000,apartamento,apartamento_padrao,Cariacica,Campo Grande,120,4,2,1,True,14,False,False,True,False,False,False,False,False,False,False,False,False,False,False,136,5000.0,False
600000,apartamento,apartamento_padrao,Cariacica,Campo Grande,91,2,3,2,True,12,False,True,False,False,True,False,False,False,False,False,False,False,False,False,161,6593.41,False
600000,apartamento,apartamento_padrao,Cariacica,Campo Grande,288,5,4,0,True,20,False,False,False,False,False,False,False,False,False,False,False,False,False,False,292,2083.33,False
603500,apartamento,apartamento_padrao,Cariacica,Campo Grande,65,2,2,1,True,6,False,True,True,False,True,False,False,True,False,False,False,False,False,False,68,9284.62,False
604000,apartamento,apartamento_padrao,Cariacica,Campo Grande,83,3,1,3,True,10,False,True,False,False,True,False,False,True,False,False,False,False,False,False,43,7277.11,False
650000,apartamento,apartamento_padrao,Cariacica,Campo Grande,102,3,2,1,True,5,False,False,True,False,True,False,False,False,False,False,False,False,False,False,319,6372.55,False
650000,apartamento,apartamento_padrao,Cariacica,Campo Grande,100,3,3,1,True,20,False,False,False,False,False,False,False,False,False,False,False,False,False,False,931,6500.0,False
670000,apartamento,apartamento_padrao,Cariacica,Campo Grande,227,4,2,2,True,19,False,False,True,False,False,True,False,False,False,False,False,False,False,False,53,2951.54,False
670000,apartamento,apartamento_padrao,Cariacica,Campo Grande,85,3,2,2,True,20,False,True,False,False,True,False,False,True,False,False,False,False,False,False,95,7882.35,False
670000,apartamento,apartamento_padrao,Cariacica,Campo Grande,227,4,2,2,True,20,False,False,False,False,False,False,False,False,False,False,False,False,False,False,564,2951.54,False
700000,apartamento,apartamento_padrao,Cariacica,Campo Grande,65,2,2,,True,20,False,True,True,False,False,False,False,True,False,False,False,False,False,False,14,10769.23,False
730000,apartamento,apartamento_padrao,Cariacica,Campo Grande,38,2,1,1,True,12,False,True,False,False,False,False,False,True,False,False,False,False,False,False,50,19210.53,False
760000,apartamento,apartamento_padrao,Cariacica,Campo Grande,85,3,2,2,True,20,False,False,False,False,False,False,False,False,False,False,False,False,False,False,461,8941.18,False
774650,apartamento,apartamento_padrao,Cariacica,Campo Grande,83,3,2,2,True,6,False,True,False,False,True,False,False,True,False,False,False,False,False,False,68,9333.13,False
800000,apartamento,apartamento_padrao,Cariacica,Campo Grande,150,3,2,2,True,20,True,True,True,False,True,False,False,True,False,False,False,False,False,False,56,5333.33,False
800000,apartamento,apartamento_padrao,Cariacica,Campo Grande,150,3,3,2,True,20,True,False,False,False,True,False,False,True,False,False,False,False,False,False,95,5333.33,False
800000,apartamento,apartamento_padrao,Cariacica,Campo Grande,150,3,4,2,True,20,True,False,False,False,True,True,False,True,False,False,False,False,False,False,230,5333.33,False
850000,apartamento,apartamento_padrao,Cariacica,Campo Grande,85,3,2,2,True,12,False,True,True,False,True,False,False,True,False,False,False,False,False,False,20,10000.0,False
