preco_venda,tipo_imovel,cidade,bairro,area_m2,quartos,banheiros,vagas,tem_suite,tem_piscina,tem_varanda,tem_gourmet,tem_lazer,tem_mobiliado,tem_porteira_fechada,tem_elevador,tem_cobertura,tem_garden,tem_sol_manha,tem_frente_mar,area_suspeita,preco_suspeito,idade_anuncio_dias,preco_m2,preco_m2_suspeito
362900,Apartamento,Cariacica,Morada de Santa Fé,45,2,1,1,False,True,False,False,True,False,False,True,False,False,False,False,False,False,,,False
410000,Apartamento,Cariacica,Rio Branco,64,3,1,1,False,True,False,True,True,False,False,True,False,False,False,False,False,False,,,False
1245000,Apartamento,Cariacica,Campo Grande,115,3,2,2,True,True,True,True,True,True,False,True,False,True,False,False,False,False,,,False
200000,Casa,Cariacica,Cariacica Sede,210,3,1,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False
409900,Apartamento,Cariacica,Morada de Santa Fé,52,3,1,1,False,True,False,False,True,False,False,True,False,False,False,False,False,False,,,False
350000,Apartamento,Cariacica,Santana,300,3,3,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False
355000,Apartamento,Cariacica,São Geraldo,63,3,2,1,True,False,False,True,True,False,False,True,False,True,False,False,False,False,,,False
260000,Apartamento,Cariacica,Tucum,43,2,1,1,False,True,False,False,True,False,False,False,False,False,False,False,False,False,,,False
218500,Apartamento,Cariacica,Vasco da Gama,156,3,2,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False
650000,Casa,Cariacica,Alto Lage,275,4,3,2,True,True,True,False,False,False,False,False,False,False,False,False,False,False,,,False
373700,Apartamento,Cariacica,Morada de Santa Fé,44,2,1,1,False,True,False,False,True,False,False,True,False,False,False,False,False,False,,,False
350000,Casa,Cariacica,Jardim Campo Grande,70,2,1,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False
230000,Casa,Cariacica,Jardim Campo Grande,80,2,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False
325165,Apartamento,Cariacica,Nova Valverde,54,2,1,1,False,True,False,False,True,False,False,True,False,False,False,False,False,False,,,False
350000,Apartamento,Cariacica,Rio Branco,55,2,1,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False
440000,Apartamento,Cariacica,São Geraldo,63,3,1,1,True,False,False,False,True,False,False,True,False,False,False,False,False,False,,,False
361100,Apartamento,Cariacica,Morada de Santa Fé,45,2,1,1,False,True,False,False,True,False,False,True,False,False,False,False,False,False,,,False
415000,Térrea,Cariacica,Santa Bárbara,120,3,2,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False
699000,Apartamento,Cariacica,Vila Capixaba,60,2,2,2,False,True,False,True,True,True,False,True,False,False,False,False,False,False,,,False
320000,Apartamento,Cariacica,Rio Branco,55,2,2,1,True,True,False,True,True,False,False,True,False,False,False,False,False,False,,,False
332000,Apartamento,Cariacica,Morada de Santa Fé,43,2,1,1,False,True,False,False,True,False,False,True,False,False,False,False,False,False,,,False
395000,Casa,Cariacica,Jardim América,220,4,2,0,True,False,True,False,False,False,False,False,False,False,False,False,False,False,,,False
220000,Apartamento,Cariacica,Tucum,41,2,1,1,False,True,False,False,True,False,False,False,False,False,False,False,False,False,,,False
149522,Apartamento,Cariacica,Jardim de Alah,45,2,1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False
350000,Casa,Cariacica,Piranema,89,2,2,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False
346000,Casa,Cariacica,Jardim Campo Grande,67,2,1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False
670000,Apartamento,Cariacica,Campo Grande,85,3,2,0,True,True,False,True,True,False,False,True,False,False,False,False,False,False,,,False
346000,Casa,Cariacica,Jardim Campo Grande,67,2,1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False
425000,Casa,Cariacica,Alto Lage,300,4,2,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False
700000,Casa,Cariacica,Jardim América,300,3,3,0,True,True,True,False,True,False,False,False,False,False,False,False,False,False,,,False
390000,Apartamento,Cariacica,Morada de Santa Fé,45,2,1,1,False,True,False,False,True,False,False,True,False,True,False,False,False,False,,,False
